,State,County,Cases,Deaths,Date_of_minig
0,AZ,Mohave County,99,<20,2020-04-30
1,AL,Autauga County,40,<20,2020-04-30
2,AL,Randolph County,62,<20,2020-04-30
3,AL,Baldwin County,171,<20,2020-04-30
4,AL,Russell County,55,0,2020-04-30
5,AZ,Pima County,1188,76,2020-04-30
6,AL,St. Clair County,70,0,2020-04-30
7,AL,Bibb County,42,0,2020-04-30
8,AZ,Pinal County,365,<20,2020-04-30
9,AL,Sumter County,55,<20,2020-04-30
10,AL,Talladega County,59,<20,2020-04-30
11,AZ,Santa Cruz County,31,0,2020-04-30
12,AL,Calhoun County,92,<20,2020-04-30
13,AL,Tuscaloosa County,199,0,2020-04-30
14,AZ,Yavapai County,77,<20,2020-04-30
15,AL,Walker County,94,0,2020-04-30
16,AL,Cherokee County,<20,0,2020-04-30
17,AL,Washington County,33,<20,2020-04-30
18,AZ,Yuma County,60,<20,2020-04-30
19,AL,Chilton County,52,<20,2020-04-30
20,AL,Wilcox County,60,<20,2020-04-30
21,AL,Choctaw County,39,0,2020-04-30
22,AR,Statewide Unallocated,220,0,2020-04-30
23,AL,Winston County,<20,0,2020-04-30
24,AL,Clarke County,28,<20,2020-04-30
25,AK,Statewide Unallocated,<20,0,2020-04-30
26,AR,Arkansas County,<20,0,2020-04-30
27,AK,Aleutians East Borough,0,0,2020-04-30
28,AL,Cleburne County,<20,<20,2020-04-30
29,AR,Ashley County,<20,0,2020-04-30
30,AR,Baxter County,<20,0,2020-04-30
31,AK,Municipality of Anchorage,175,<20,2020-04-30
32,AK,Bethel Census Area,<20,0,2020-04-30
33,AR,Benton County,94,0,2020-04-30
34,AL,Conecuh County,<20,0,2020-04-30
35,AK,Bristol Bay Borough,0,0,2020-04-30
36,AR,Boone County,<20,0,2020-04-30
37,AK,Denali Borough,0,0,2020-04-30
38,AL,Covington County,35,<20,2020-04-30
39,AK,Dillingham Census Area,0,0,2020-04-30
40,AR,Bradley County,<20,<20,2020-04-30
41,AL,Crenshaw County,<20,0,2020-04-30
42,AK,Fairbanks North Star Borough,81,<20,2020-04-30
43,AL,Cullman County,52,0,2020-04-30
44,AL,Dale County,25,0,2020-04-30
45,AK,Haines Borough,0,0,2020-04-30
46,AR,Carroll County,<20,0,2020-04-30
47,AL,Dallas County,37,<20,2020-04-30
48,AK,Hoonah-Angoon Census Area,0,0,2020-04-30
49,AK,City and Borough of Juneau,27,0,2020-04-30
50,AR,Chicot County,<20,0,2020-04-30
51,AL,Elmore County,82,<20,2020-04-30
52,AK,Kenai Peninsula Borough,<20,<20,2020-04-30
53,AR,Clark County,27,0,2020-04-30
54,AL,Escambia County,27,<20,2020-04-30
55,AK,Ketchikan Gateway Borough,<20,0,2020-04-30
56,AR,Clay County,<20,0,2020-04-30
57,AL,Pike County,65,0,2020-04-30
58,AL,Barbour County,37,0,2020-04-30
59,AL,Chambers County,291,<20,2020-04-30
60,AL,Coosa County,31,<20,2020-04-30
61,AR,Calhoun County,0,0,2020-04-30
62,AL,DeKalb County,76,<20,2020-04-30
63,AK,Kodiak Island Borough,<20,0,2020-04-30
64,AL,Statewide Unallocated,0,0,2020-04-30
65,AZ,Navajo County,665,<20,2020-04-30
66,AR,Nevada County,<20,0,2020-04-30
67,AL,Etowah County,130,<20,2020-04-30
68,AK,Lake and Peninsula Borough,0,0,2020-04-30
69,AL,Blount County,34,0,2020-04-30
70,CA,Placer County,145,<20,2020-04-30
71,AL,Tallapoosa County,279,<20,2020-04-30
72,CO,Gunnison County,161,<20,2020-04-30
73,AK,Aleutians West Census Area,0,0,2020-04-30
74,AL,Colbert County,27,<20,2020-04-30
75,AK,Matanuska-Susitna Borough,21,<20,2020-04-30
76,CA,Plumas County,<20,0,2020-04-30
77,CO,Hinsdale County,<20,0,2020-04-30
78,AR,Cleveland County,<20,0,2020-04-30
79,AR,Ouachita County,<20,0,2020-04-30
80,CA,Riverside County,3735,141,2020-04-30
81,AL,Geneva County,<20,0,2020-04-30
82,AR,Perry County,<20,0,2020-04-30
83,AK,North Slope Borough,0,0,2020-04-30
84,FL,Calhoun County,<20,0,2020-04-30
85,AR,Phillips County,<20,<20,2020-04-30
86,CO,Jefferson County,1298,68,2020-04-30
87,AR,Conway County,<20,<20,2020-04-30
88,FL,Collier County,568,<20,2020-04-30
89,AR,Cross County,<20,0,2020-04-30
90,AK,Wade Hampton Census Area,0,0,2020-04-30
91,AR,Desha County,<20,0,2020-04-30
92,IL,Mercer County,<20,0,2020-04-30
93,CA,Stanislaus County,324,<20,2020-04-30
94,AR,Cleburne County,72,<20,2020-04-30
95,CO,Ouray County,<20,<20,2020-04-30
96,AL,Marion County,76,<20,2020-04-30
97,AR,Columbia County,<20,0,2020-04-30
98,AR,Sharp County,<20,0,2020-04-30
99,CA,Ventura County,508,<20,2020-04-30
100,CO,Lake County,<20,0,2020-04-30
101,FL,Hardee County,<20,0,2020-04-30
102,AR,Crittenden County,177,<20,2020-04-30
103,FL,Volusia County,445,<20,2020-04-30
104,GA,Echols County,<20,0,2020-04-30
105,CO,Mesa County,42,0,2020-04-30
106,AK,Yakutat City and Borough,0,0,2020-04-30
107,IL,Marshall County,<20,0,2020-04-30
108,HI,Kalawao County,0,0,2020-04-30
109,CA,Sierra County,0,0,2020-04-30
110,FL,Dixie County,<20,0,2020-04-30
111,AL,Macon County,35,<20,2020-04-30
112,AR,Franklin County,<20,0,2020-04-30
113,IL,Monroe County,67,<20,2020-04-30
114,GA,Baker County,21,<20,2020-04-30
115,AZ,Greenlee County,<20,0,2020-04-30
116,AL,Marshall County,313,<20,2020-04-30
117,IN,Delaware County,152,<20,2020-04-30
118,GA,Barrow County,123,<20,2020-04-30
119,AR,Hot Spring County,<20,0,2020-04-30
120,GA,Glynn County,55,<20,2020-04-30
121,AR,Izard County,<20,0,2020-04-30
122,IL,Cumberland County,<20,0,2020-04-30
123,ID,Boundary County,0,0,2020-04-30
124,AL,Shelby County,319,<20,2020-04-30
125,AL,Bullock County,<20,0,2020-04-30
126,AL,Butler County,45,<20,2020-04-30
127,AL,Clay County,<20,<20,2020-04-30
128,AL,Coffee County,105,0,2020-04-30
129,CA,Orange County,2151,42,2020-04-30
130,CO,Kit Carson County,20,<20,2020-04-30
131,GA,Dougherty County,1491,118,2020-04-30
