,State,County,Cases,Death,Date
1005,Massachusetts,Barnstable,969.0,48.0,2020-20-06
1006,Massachusetts,Berkshire,457.0,36.0,2020-20-06
1007,Massachusetts,Bristol,4235.0,210.0,2020-20-06
1008,Massachusetts,Dukes,21.0,,2020-20-06
1009,Massachusetts,Essex,9979.0,527.0,2020-20-06
1010,Massachusetts,Franklin,275.0,37.0,2020-20-06
1011,Massachusetts,Hampden,4203.0,415.0,2020-20-06
1012,Massachusetts,Hampshire,575.0,47.0,2020-20-06
1013,Massachusetts,Middlesex,15980.0,1028.0,2020-20-06
1014,Massachusetts,Nantucket,11.0,,2020-20-06
1015,Massachusetts,Norfolk,6466.0,575.0,2020-20-06
1016,Massachusetts,Plymouth,5736.0,341.0,2020-20-06
1017,Massachusetts,Suffolk,14173.0,609.0,2020-20-06
1018,Massachusetts,Worcester,6597.0,331.0,2020-20-06
1019,Massachusetts,Unknown,594.0,7.0,2020-20-06
1020,Massachusetts,Dukes and Nantucket,,1.0,2020-20-06
