,State,County,Cases,Deaths,Date
0,Minnesota,Aitkin,1,0,2020-04-22
1,Minnesota,Anoka,97,2,2020-04-22
2,Minnesota,Becker,1,0,2020-04-22
3,Minnesota,Beltrami,5,0,2020-04-22
4,Minnesota,Benton,4,0,2020-04-22
5,Minnesota,Big Stone,1,0,2020-04-22
6,Minnesota,Blue Earth,24,0,2020-04-22
7,Minnesota,Brown,8,1,2020-04-22
8,Minnesota,Carlton,37,0,2020-04-22
9,Minnesota,Carver,14,0,2020-04-22
10,Minnesota,Cass,4,0,2020-04-22
11,Minnesota,Chippewa,1,0,2020-04-22
12,Minnesota,Chisago,7,1,2020-04-22
13,Minnesota,Clay,68,3,2020-04-22
14,Minnesota,Clearwater,3,0,2020-04-22
15,Minnesota,Cottonwood,6,0,2020-04-22
16,Minnesota,Crow Wing,20,0,2020-04-22
17,Minnesota,Dakota,127,6,2020-04-22
18,Minnesota,Dodge,18,0,2020-04-22
19,Minnesota,Douglas,2,0,2020-04-22
20,Minnesota,Faribault,4,0,2020-04-22
21,Minnesota,Fillmore,11,0,2020-04-22
22,Minnesota,Freeborn,33,0,2020-04-22
23,Minnesota,Goodhue,19,0,2020-04-22
24,Minnesota,Hennepin,"1,013",95,2020-04-22
25,Minnesota,Houston,1,0,2020-04-22
26,Minnesota,Isanti,6,0,2020-04-22
27,Minnesota,Itasca,2,0,2020-04-22
28,Minnesota,Jackson,2,0,2020-04-22
29,Minnesota,Kandiyohi,3,0,2020-04-22
30,Minnesota,Kittson,1,0,2020-04-22
31,Minnesota,Koochiching,1,0,2020-04-22
32,Minnesota,Lac qui Parle,1,0,2020-04-22
33,Minnesota,Le Sueur,22,0,2020-04-22
34,Minnesota,Lincoln,2,0,2020-04-22
35,Minnesota,Lyon,5,0,2020-04-22
36,Minnesota,Mahnomen,1,0,2020-04-22
37,Minnesota,Marshall,1,0,2020-04-22
38,Minnesota,Martin,41,4,2020-04-22
39,Minnesota,McLeod,3,0,2020-04-22
40,Minnesota,Meeker,3,0,2020-04-22
41,Minnesota,Mille Lacs,1,1,2020-04-22
42,Minnesota,Morrison,1,0,2020-04-22
43,Minnesota,Mower,26,0,2020-04-22
44,Minnesota,Murray,3,0,2020-04-22
45,Minnesota,Nicollet,7,2,2020-04-22
46,Minnesota,Nobles,101,0,2020-04-22
47,Minnesota,Norman,5,0,2020-04-22
48,Minnesota,Olmsted,198,4,2020-04-22
49,Minnesota,Otter Tail,6,0,2020-04-22
50,Minnesota,Pennington,1,0,2020-04-22
51,Minnesota,Pine,12,0,2020-04-22
52,Minnesota,Pipestone,2,0,2020-04-22
53,Minnesota,Polk,4,0,2020-04-22
54,Minnesota,Ramsey,215,11,2020-04-22
55,Minnesota,Red Lake,1,0,2020-04-22
56,Minnesota,Redwood,1,0,2020-04-22
57,Minnesota,Renville,3,0,2020-04-22
58,Minnesota,Rice,7,1,2020-04-22
59,Minnesota,Rock,5,0,2020-04-22
60,Minnesota,Roseau,1,0,2020-04-22
61,Minnesota,Scott,27,1,2020-04-22
62,Minnesota,Sherburne,13,0,2020-04-22
63,Minnesota,Sibley,1,0,2020-04-22
64,Minnesota,St. Louis,53,10,2020-04-22
65,Minnesota,Stearns,18,0,2020-04-22
66,Minnesota,Steele,9,0,2020-04-22
67,Minnesota,Swift,1,0,2020-04-22
68,Minnesota,Todd,3,0,2020-04-22
69,Minnesota,Traverse,2,0,2020-04-22
70,Minnesota,Wabasha,8,0,2020-04-22
71,Minnesota,Waseca,3,0,2020-04-22
72,Minnesota,Washington,98,5,2020-04-22
73,Minnesota,Watonwan,4,0,2020-04-22
74,Minnesota,Wilkin,9,2,2020-04-22
75,Minnesota,Winona,61,10,2020-04-22
76,Minnesota,Wright,27,1,2020-04-22
77,Minnesota,Yellow Medicine,3,0,2020-04-22
