,State,County,Cases,Date
0,Missouri,Adair,12,2020-04-23
1,Missouri,Andrew,1,2020-04-23
2,Missouri,Atchison,2,2020-04-23
3,Missouri,Audrain,1,2020-04-23
4,Missouri,Barry,5,2020-04-23
5,Missouri,Barton,0,2020-04-23
6,Missouri,Bates,6,2020-04-23
7,Missouri,Benton,3,2020-04-23
8,Missouri,Bollinger,3,2020-04-23
9,Missouri,Boone,97,2020-04-23
10,Missouri,Buchanan,35,2020-04-23
11,Missouri,Butler,24,2020-04-23
12,Missouri,Caldwell,2,2020-04-23
13,Missouri,Callaway,21,2020-04-23
14,Missouri,Camden,35,2020-04-23
15,Missouri,Cape Girardeau,40,2020-04-23
16,Missouri,Carroll,1,2020-04-23
17,Missouri,Carter,3,2020-04-23
18,Missouri,Cass,55,2020-04-23
19,Missouri,Cedar,5,2020-04-23
20,Missouri,Chariton,4,2020-04-23
21,Missouri,Christian,18,2020-04-23
22,Missouri,Clark,1,2020-04-23
23,Missouri,Clay,61,2020-04-23
24,Missouri,Clinton,11,2020-04-23
25,Missouri,Cole,45,2020-04-23
26,Missouri,Cooper,5,2020-04-23
27,Missouri,Crawford,5,2020-04-23
28,Missouri,Dade,0,2020-04-23
29,Missouri,Dallas,2,2020-04-23
30,Missouri,Daviess,2,2020-04-23
31,Missouri,Dekalb,3,2020-04-23
32,Missouri,Dent,0,2020-04-23
33,Missouri,Douglas,0,2020-04-23
34,Missouri,Dunklin,19,2020-04-23
35,Missouri,Franklin,102,2020-04-23
36,Missouri,Gasconade,2,2020-04-23
37,Missouri,Gentry,1,2020-04-23
38,Missouri,Greene,83,2020-04-23
39,Missouri,Grundy,0,2020-04-23
40,Missouri,Harrison,6,2020-04-23
41,Missouri,Henry,6,2020-04-23
42,Missouri,Hickory,0,2020-04-23
43,Missouri,Holt,1,2020-04-23
44,Missouri,Howard,2,2020-04-23
45,Missouri,Howell,5,2020-04-23
46,Missouri,Iron,2,2020-04-23
47,Missouri,Jackson,288,2020-04-23
48,Missouri,Jasper,16,2020-04-23
49,Missouri,Jefferson,238,2020-04-23
50,Missouri,Johnson,52,2020-04-23
51,Missouri,Joplin,8,2020-04-23
52,Missouri,Kansas City,448,2020-04-23
53,Missouri,Knox,0,2020-04-23
54,Missouri,Laclede,0,2020-04-23
55,Missouri,Lafayette,30,2020-04-23
56,Missouri,Lawrence,0,2020-04-23
57,Missouri,Lewis,1,2020-04-23
58,Missouri,Lincoln,37,2020-04-23
59,Missouri,Linn,5,2020-04-23
60,Missouri,Livingston,2,2020-04-23
61,Missouri,Macon,2,2020-04-23
62,Missouri,Madison,1,2020-04-23
63,Missouri,Maries,2,2020-04-23
64,Missouri,Marion,4,2020-04-23
65,Missouri,McDonald,4,2020-04-23
66,Missouri,Mercer,0,2020-04-23
67,Missouri,Miller,1,2020-04-23
68,Missouri,Mississippi,1,2020-04-23
69,Missouri,Moniteau,32,2020-04-23
70,Missouri,Monroe,0,2020-04-23
71,Missouri,Montgomery,7,2020-04-23
72,Missouri,Morgan,3,2020-04-23
73,Missouri,New Madrid,9,2020-04-23
74,Missouri,Newton,9,2020-04-23
75,Missouri,Nodaway,3,2020-04-23
76,Missouri,Oregon,1,2020-04-23
77,Missouri,Osage,5,2020-04-23
78,Missouri,Ozark,0,2020-04-23
79,Missouri,Pemiscot,17,2020-04-23
80,Missouri,Perry,38,2020-04-23
81,Missouri,Pettis,16,2020-04-23
82,Missouri,Phelps,1,2020-04-23
83,Missouri,Pike,6,2020-04-23
84,Missouri,Platte,27,2020-04-23
85,Missouri,Polk,1,2020-04-23
86,Missouri,Pulaski,30,2020-04-23
87,Missouri,Putnam,0,2020-04-23
88,Missouri,Ralls,1,2020-04-23
89,Missouri,Randolph,8,2020-04-23
90,Missouri,Ray,7,2020-04-23
91,Missouri,Reynolds,2,2020-04-23
92,Missouri,Ripley,4,2020-04-23
93,Missouri,Saline,55,2020-04-23
94,Missouri,Schuyler,0,2020-04-23
95,Missouri,Scotland,4,2020-04-23
96,Missouri,Scott,59,2020-04-23
97,Missouri,Shannon,0,2020-04-23
98,Missouri,Shelby,1,2020-04-23
99,Missouri,St. Charles,467,2020-04-23
100,Missouri,St. Clair,2,2020-04-23
101,Missouri,St. Francois,24,2020-04-23
102,Missouri,St. Louis City,893,2020-04-23
103,Missouri,St. Louis County,2436,2020-04-23
104,Missouri,Ste. Genevieve,7,2020-04-23
105,Missouri,Stoddard,19,2020-04-23
106,Missouri,Stone,3,2020-04-23
107,Missouri,Sullivan,0,2020-04-23
108,Missouri,Taney,9,2020-04-23
109,Missouri,Texas,0,2020-04-23
110,Missouri,Vernon,4,2020-04-23
111,Missouri,Warren,20,2020-04-23
112,Missouri,Washington,6,2020-04-23
113,Missouri,Wayne,0,2020-04-23
114,Missouri,Webster,13,2020-04-23
115,Missouri,Worth,1,2020-04-23
116,Missouri,Wright,9,2020-04-23
117,Missouri,TBD,1,2020-04-23
