,State,County,Deaths,Date
0,Missouri,Bates,1,2020-04-23
1,Missouri,Boone,1,2020-04-23
2,Missouri,Buchanan,1,2020-04-23
3,Missouri,Callaway,1,2020-04-23
4,Missouri,Camden,1,2020-04-23
5,Missouri,Cape Girardeau,1,2020-04-23
6,Missouri,Carter,1,2020-04-23
7,Missouri,Cass,6,2020-04-23
8,Missouri,Clay,1,2020-04-23
9,Missouri,Cole,1,2020-04-23
10,Missouri,Dunklin,2,2020-04-23
11,Missouri,Franklin,5,2020-04-23
12,Missouri,Greene,7,2020-04-23
13,Missouri,Henry,1,2020-04-23
14,Missouri,Jackson,8,2020-04-23
15,Missouri,Jefferson,3,2020-04-23
16,Missouri,Kansas City,13,2020-04-23
17,Missouri,Lafayette,1,2020-04-23
18,Missouri,Lewis,1,2020-04-23
19,Missouri,Lincoln,1,2020-04-23
20,Missouri,Linn,1,2020-04-23
21,Missouri,Newton,1,2020-04-23
22,Missouri,Pulaski,1,2020-04-23
23,Missouri,Scott,1,2020-04-23
24,Missouri,St. Charles,25,2020-04-23
25,Missouri,St. Francois,1,2020-04-23
26,Missouri,St. Louis City,21,2020-04-23
27,Missouri,St. Louis County,97,2020-04-23
28,Missouri,Ste. Genevieve,1,2020-04-23
29,Missouri,Taney,1,2020-04-23
30,Missouri,TBD,1,2020-04-23
