,STATE,COUNTY,COUNT,DEATHS,DATE
0,Montana,Gallatin County,      148 ,N/A,2020-41-08
1,Montana,Beaverhead County,      1 ,N/A,2020-41-08
2,Montana,Big Horn County,      3 ,N/A,2020-41-08
3,Montana,Broadwater County,      4 ,N/A,2020-41-08
4,Montana,Carbon County,      6 ,N/A,2020-41-08
5,Montana,Cascade County,      16 ,N/A,2020-41-08
6,Montana,Deer Lodge County,      3 ,N/A,2020-41-08
7,Montana,Flathead County,      37 ,N/A,2020-41-08
8,Montana,Glacier County,      6 ,N/A,2020-41-08
9,Montana,Golden Valley County,      3 ,N/A,2020-41-08
10,Montana,Hill County,      1 ,N/A,2020-41-08
11,Montana,Jefferson County,      2 ,N/A,2020-41-08
12,Montana,Lake County,      5 ,N/A,2020-41-08
13,Montana,Lewis and Clark County,      16 ,N/A,2020-41-08
14,Montana,Liberty County,      1 ,N/A,2020-41-08
15,Montana,Lincoln County,      7 ,N/A,2020-41-08
16,Montana,Madison County,      8 ,N/A,2020-41-08
17,Montana,Meagher County,      1 ,N/A,2020-41-08
18,Montana,Missoula County,      39 ,N/A,2020-41-08
19,Montana,Musselshell County,      1 ,N/A,2020-41-08
20,Montana,Park County,      8 ,N/A,2020-41-08
21,Montana,Pondera County,      2 ,N/A,2020-41-08
22,Montana,Ravalli County,      5 ,N/A,2020-41-08
23,Montana,Richland County,      3 ,N/A,2020-41-08
24,Montana,Roosevelt County,      7 ,N/A,2020-41-08
25,Montana,Silver Bow County,      11 ,N/A,2020-41-08
26,Montana,Stillwater County,      1 ,N/A,2020-41-08
27,Montana,Toole County,      29 ,N/A,2020-41-08
28,Montana,Wheatland County,      1 ,N/A,2020-41-08
29,Montana,Yellowstone County,      83 ,N/A,2020-41-08
