State,﻿County,Cases,Date
North Dakota,Bowman,1,2020-04-23
North Dakota,Divide,1,2020-04-23
North Dakota,Eddy,1,2020-04-23
North Dakota,Emmons,1,2020-04-23
North Dakota,Foster,1,2020-04-23
North Dakota,Grant,1,2020-04-23
North Dakota,McHenry,1,2020-04-23
North Dakota,McIntosh,1,2020-04-23
North Dakota,Nelson,1,2020-04-23
North Dakota,Oliver,1,2020-04-23
North Dakota,Rolette,1,2020-04-23
North Dakota,Sargent,1,2020-04-23
North Dakota,Sioux,1,2020-04-23
North Dakota,Wells,1,2020-04-23
North Dakota,Pierce,2,2020-04-23
North Dakota,Barnes,3,2020-04-23
North Dakota,Burke,3,2020-04-23
North Dakota,McLean,3,2020-04-23
North Dakota,Ramsey,3,2020-04-23
North Dakota,Slope,3,2020-04-23
North Dakota,Stutsman,3,2020-04-23
North Dakota,Walsh,3,2020-04-23
North Dakota,Richland,7,2020-04-23
North Dakota,Williams,9,2020-04-23
North Dakota,Dunn,10,2020-04-23
North Dakota,McKenzie,10,2020-04-23
North Dakota,Ward,21,2020-04-23
North Dakota,Morton,23,2020-04-23
North Dakota,Mountrail,33,2020-04-23
North Dakota,Stark,40,2020-04-23
North Dakota,Burleigh,67,2020-04-23
North Dakota,Grand Forks,162,2020-04-23
North Dakota,Cass,290,2020-04-23
