,STATE,COUNTY,COUNT,DEATHS,DATE
0,South Carolina,Abbeville,34, 0,2020-05-08
1,South Carolina,Aiken,112, 6,2020-05-08
2,South Carolina,Allendale,23, 3,2020-05-08
3,South Carolina,Anderson,181, 8,2020-05-08
4,South Carolina,Bamberg,14, 0,2020-05-08
5,South Carolina,Barnwell,32, 0,2020-05-08
6,South Carolina,Beaufort,273, 12,2020-05-08
7,South Carolina,Berkeley,191, 14,2020-05-08
8,South Carolina,Calhoun,7, 1,2020-05-08
9,South Carolina,Charleston,481, 9,2020-05-08
10,South Carolina,Cherokee,21, 0,2020-05-08
11,South Carolina,Chester,39, 0,2020-05-08
12,South Carolina,Chesterfield,72, 1,2020-05-08
13,South Carolina,Clarendon,258, 25,2020-05-08
14,South Carolina,Colleton,32, 4,2020-05-08
15,South Carolina,Darlington,171, 3,2020-05-08
16,South Carolina,Dillon,84, 0,2020-05-08
17,South Carolina,Dorchester,105, 3,2020-05-08
18,South Carolina,Edgefield,36, 2,2020-05-08
19,South Carolina,Fairfield,76, 3,2020-05-08
20,South Carolina,Florence,399, 20,2020-05-08
21,South Carolina,Georgetown,49, 3,2020-05-08
22,South Carolina,Greenville,869, 44,2020-05-08
23,South Carolina,Greenwood,62, 0,2020-05-08
24,South Carolina,Hampton,27, 0,2020-05-08
25,South Carolina,Horry,251, 18,2020-05-08
26,South Carolina,Jasper,21, 1,2020-05-08
27,South Carolina,Kershaw,250, 12,2020-05-08
28,South Carolina,Lancaster,103, 4,2020-05-08
29,South Carolina,Laurens,46, 2,2020-05-08
30,South Carolina,Lee,92, 8,2020-05-08
31,South Carolina,Lexington,465, 19,2020-05-08
32,South Carolina,McCormick,7, 1,2020-05-08
33,South Carolina,Marion,44, 2,2020-05-08
34,South Carolina,Marlboro,57, 1,2020-05-08
35,South Carolina,Newberry,32, 1,2020-05-08
36,South Carolina,Oconee,36, 0,2020-05-08
37,South Carolina,Orangeburg,99, 2,2020-05-08
38,South Carolina,Pickens,63, 1,2020-05-08
39,South Carolina,Richland,1 057, 52,2020-05-08
40,South Carolina,Saluda,84, 0,2020-05-08
41,South Carolina,Spartanburg,333, 12,2020-05-08
42,South Carolina,Sumter,281, 12,2020-05-08
43,South Carolina,Union,29, 0,2020-05-08
44,South Carolina,Williamsburg,136, 6,2020-05-08
45,South Carolina,York,233, 5,2020-05-08
