,COVID-19 Positive Cases and Fatalities by County as of 4/23 at 10:45AM CST,State,Unnamed: 1,Unnamed: 2,Unnamed: 3,Date
0,No.,Texas,County,Positive,Fatalities,2020-04-23
1,1,Texas,Anderson,14,0,2020-04-23
2,2,Texas,Andrews,19,0,2020-04-23
3,3,Texas,Angelina,31,0,2020-04-23
4,4,Texas,Aransas,2,0,2020-04-23
5,5,Texas,Armstrong,1,0,2020-04-23
6,6,Texas,Atascosa,14,1,2020-04-23
7,7,Texas,Austin,12,0,2020-04-23
8,8,Texas,Bandera,4,0,2020-04-23
9,9,Texas,Bastrop,53,2,2020-04-23
10,10,Texas,Bee,6,0,2020-04-23
11,11,Texas,Bell,153,3,2020-04-23
12,12,Texas,Bexar,1126,39,2020-04-23
13,13,Texas,Blanco,6,0,2020-04-23
14,14,Texas,Bosque,3,0,2020-04-23
15,15,Texas,Bowie,66,1,2020-04-23
16,16,Texas,Brazoria,382,3,2020-04-23
17,17,Texas,Brazos,177,16,2020-04-23
18,18,Texas,Brooks,1,0,2020-04-23
19,19,Texas,Brown,13,1,2020-04-23
20,20,Texas,Burleson,11,0,2020-04-23
21,21,Texas,Burnet,14,0,2020-04-23
22,22,Texas,Caldwell,10,0,2020-04-23
23,23,Texas,Calhoun,23,2,2020-04-23
24,24,Texas,Callahan,1,0,2020-04-23
25,25,Texas,Cameron,321,9,2020-04-23
26,26,Texas,Camp,6,0,2020-04-23
27,27,Texas,Carson,1,0,2020-04-23
28,28,Texas,Cass,10,0,2020-04-23
29,29,Texas,Castro,13,1,2020-04-23
30,30,Texas,Chambers,39,0,2020-04-23
31,31,Texas,Cherokee,8,1,2020-04-23
32,32,Texas,Childress,1,0,2020-04-23
33,33,Texas,Clay,3,0,2020-04-23
34,34,Texas,Cochran,1,0,2020-04-23
35,35,Texas,Collin,584,14,2020-04-23
36,36,Texas,Colorado,10,0,2020-04-23
37,37,Texas,Comal,47,6,2020-04-23
38,38,Texas,Comanche,3,0,2020-04-23
39,39,Texas,Concho,1,0,2020-04-23
40,40,Texas,Cooke,4,0,2020-04-23
41,41,Texas,Coryell,86,1,2020-04-23
42,42,Texas,Crane,2,0,2020-04-23
43,43,Texas,Crosby,1,1,2020-04-23
44,44,Texas,Dallam,3,1,2020-04-23
45,45,Texas,Dallas,2683,65,2020-04-23
46,46,Texas,Dawson,18,1,2020-04-23
47,47,Texas,Deaf Smith,17,0,2020-04-23
48,48,Texas,Delta,1,0,2020-04-23
49,49,Texas,Denton,644,19,2020-04-23
50,50,Texas,DeWitt,14,1,2020-04-23
51,51,Texas,Dickens,1,0,2020-04-23
52,52,Texas,Dimmit,1,0,2020-04-23
53,53,Texas,Donley,24,0,2020-04-23
54,54,Texas,Duval,1,0,2020-04-23
55,55,Texas,Eastland,3,0,2020-04-23
56,56,Texas,Ector,62,4,2020-04-23
57,57,Texas,El Paso,645,10,2020-04-23
58,58,Texas,Ellis,111,4,2020-04-23
59,59,Texas,Erath,12,1,2020-04-23
60,60,Texas,Falls,1,0,2020-04-23
61,61,Texas,Fannin,13,0,2020-04-23
62,62,Texas,Fayette,15,0,2020-04-23
63,63,Texas,Floyd,3,0,2020-04-23
64,64,Texas,Fort Bend,870,18,2020-04-23
65,65,Texas,Franklin,1,0,2020-04-23
66,66,Texas,Freestone,3,0,2020-04-23
67,67,Texas,Frio,1,0,2020-04-23
68,68,Texas,Gaines,2,0,2020-04-23
69,69,Texas,Galveston,491,21,2020-04-23
70,70,Texas,Gillespie,1,0,2020-04-23
71,71,Texas,Goliad,6,0,2020-04-23
72,72,Texas,Gonzales,4,0,2020-04-23
73,73,Texas,Gray,27,0,2020-04-23
74,74,Texas,Grayson,19,0,2020-04-23
75,75,Texas,Gregg,55,0,2020-04-23
76,76,Texas,Grimes,10,1,2020-04-23
77,77,Texas,Guadalupe,64,0,2020-04-23
78,78,Texas,Hale,16,4,2020-04-23
79,79,Texas,Hamilton,5,0,2020-04-23
80,80,Texas,Hansford,2,0,2020-04-23
81,81,Texas,Hardin,91,2,2020-04-23
82,82,Texas,Harris,5211,80,2020-04-23
83,83,Texas,Harrison,61,1,2020-04-23
84,84,Texas,Hartley,2,0,2020-04-23
85,85,Texas,Hays,140,1,2020-04-23
86,86,Texas,Hemphill,1,0,2020-04-23
87,87,Texas,Henderson,22,0,2020-04-23
88,88,Texas,Hidalgo,281,4,2020-04-23
89,89,Texas,Hill,14,1,2020-04-23
90,90,Texas,Hockley,18,1,2020-04-23
91,91,Texas,Hood,15,2,2020-04-23
