,State,County,Cases,Deaths,Date
0,Mississippi,Adams,158,11,2020-05-09
1,Mississippi,Alcorn,10,1,2020-05-09
2,Mississippi,Amite,34,0,2020-05-09
3,Mississippi,Attala,191,4,2020-05-09
4,Mississippi,Benton,13,0,2020-05-09
5,Mississippi,Bolivar,119,8,2020-05-09
6,Mississippi,Calhoun,57,4,2020-05-09
7,Mississippi,Carroll,101,4,2020-05-09
8,Mississippi,Chickasaw,92,10,2020-05-09
9,Mississippi,Choctaw,15,2,2020-05-09
10,Mississippi,Claiborne,41,0,2020-05-09
11,Mississippi,Clarke,79,7,2020-05-09
12,Mississippi,Clay,65,3,2020-05-09
13,Mississippi,Coahoma,71,3 *,2020-05-09
14,Mississippi,Copiah,157,1,2020-05-09
15,Mississippi,Covington,89,1,2020-05-09
16,Mississippi,Desoto,333,5,2020-05-09
17,Mississippi,Forrest,309,21,2020-05-09
18,Mississippi,Franklin,17,1,2020-05-09
19,Mississippi,George,15,1,2020-05-09
20,Mississippi,Greene,6,1,2020-05-09
21,Mississippi,Grenada,47,2,2020-05-09
22,Mississippi,Hancock,73,10,2020-05-09
23,Mississippi,Harrison,198,6,2020-05-09
24,Mississippi,Hinds,663,15,2020-05-09
25,Mississippi,Holmes,206,18,2020-05-09
26,Mississippi,Humphreys,30,4,2020-05-09
27,Mississippi,Itawamba,68,6,2020-05-09
28,Mississippi,Jackson,275,11,2020-05-09
29,Mississippi,Jasper,86,2,2020-05-09
30,Mississippi,Jefferson,30,0,2020-05-09
31,Mississippi,Jefferson Davis,53,1,2020-05-09
32,Mississippi,Jones,243,5,2020-05-09
33,Mississippi,Kemper,91,6,2020-05-09
34,Mississippi,Lafayette,98,3,2020-05-09
35,Mississippi,Lamar,145,4,2020-05-09
36,Mississippi,Lauderdale,471,42,2020-05-09
37,Mississippi,Lawrence,64,0,2020-05-09
38,Mississippi,Leake,299,2,2020-05-09
39,Mississippi,Lee,78,4,2020-05-09
40,Mississippi,Leflore,185,18,2020-05-09
41,Mississippi,Lincoln,184,13 *,2020-05-09
42,Mississippi,Lowndes,79,3,2020-05-09
43,Mississippi,Madison,422,12,2020-05-09
44,Mississippi,Marion,83,7,2020-05-09
45,Mississippi,Marshall,55,2,2020-05-09
46,Mississippi,Monroe,200,20,2020-05-09
47,Mississippi,Montgomery,67,1,2020-05-09
48,Mississippi,Neshoba,307,13,2020-05-09
49,Mississippi,Newton,137,1,2020-05-09
50,Mississippi,Noxubee,102,2,2020-05-09
51,Mississippi,Oktibbeha,86,4,2020-05-09
52,Mississippi,Panola,43,2,2020-05-09
53,Mississippi,Pearl River,190,24,2020-05-09
54,Mississippi,Perry,34,1,2020-05-09
55,Mississippi,Pike,168,10,2020-05-09
56,Mississippi,Pontotoc,24,2,2020-05-09
57,Mississippi,Prentiss,35,2,2020-05-09
58,Mississippi,Quitman,16,0,2020-05-09
59,Mississippi,Rankin,248,6,2020-05-09
60,Mississippi,Scott,454,6,2020-05-09
61,Mississippi,Sharkey,5,0,2020-05-09
62,Mississippi,Simpson,61,0,2020-05-09
63,Mississippi,Smith,100,6,2020-05-09
64,Mississippi,Stone,24,0,2020-05-09
65,Mississippi,Sunflower,63,3,2020-05-09
66,Mississippi,Tallahatchie,12,1,2020-05-09
67,Mississippi,Tate,50,0,2020-05-09
68,Mississippi,Tippah,65,11,2020-05-09
69,Mississippi,Tishomingo,10,0,2020-05-09
70,Mississippi,Tunica,38,2,2020-05-09
71,Mississippi,Union,48,3,2020-05-09
72,Mississippi,Walthall,37,0,2020-05-09
73,Mississippi,Warren,98,2,2020-05-09
74,Mississippi,Washington,82,3,2020-05-09
75,Mississippi,Wayne,27,0,2020-05-09
76,Mississippi,Webster,21,1,2020-05-09
77,Mississippi,Wilkinson,75,9,2020-05-09
78,Mississippi,Winston,61,0,2020-05-09
79,Mississippi,Yalobusha,30,0,2020-05-09
80,Mississippi,Yazoo,162,2,2020-05-09
81,Mississippi,Total,"9,378",421,2020-05-09
