,State,County,Cases,Date
0,Missouri,Adair,12,2020-05-09
1,Missouri,Andrew,6,2020-05-09
2,Missouri,Atchison,2,2020-05-09
3,Missouri,Audrain,1,2020-05-09
4,Missouri,Barry,6,2020-05-09
5,Missouri,Barton,0,2020-05-09
6,Missouri,Bates,6,2020-05-09
7,Missouri,Benton,8,2020-05-09
8,Missouri,Bollinger,4,2020-05-09
9,Missouri,Boone,98,2020-05-09
10,Missouri,Buchanan,409,2020-05-09
11,Missouri,Butler,26,2020-05-09
12,Missouri,Caldwell,3,2020-05-09
13,Missouri,Callaway,23,2020-05-09
14,Missouri,Camden,35,2020-05-09
15,Missouri,Cape Girardeau,49,2020-05-09
16,Missouri,Carroll,3,2020-05-09
17,Missouri,Carter,3,2020-05-09
18,Missouri,Cass,65,2020-05-09
19,Missouri,Cedar,9,2020-05-09
20,Missouri,Chariton,5,2020-05-09
21,Missouri,Christian,20,2020-05-09
22,Missouri,Clark,1,2020-05-09
23,Missouri,Clay,90,2020-05-09
24,Missouri,Clinton,14,2020-05-09
25,Missouri,Cole,54,2020-05-09
26,Missouri,Cooper,9,2020-05-09
27,Missouri,Crawford,8,2020-05-09
28,Missouri,Dade,0,2020-05-09
29,Missouri,Dallas,2,2020-05-09
30,Missouri,Daviess,3,2020-05-09
31,Missouri,Dekalb,4,2020-05-09
32,Missouri,Dent,0,2020-05-09
33,Missouri,Douglas,0,2020-05-09
34,Missouri,Dunklin,24,2020-05-09
35,Missouri,Franklin,129,2020-05-09
36,Missouri,Gasconade,2,2020-05-09
37,Missouri,Gentry,1,2020-05-09
38,Missouri,Greene,93,2020-05-09
39,Missouri,Grundy,0,2020-05-09
40,Missouri,Harrison,6,2020-05-09
41,Missouri,Henry,9,2020-05-09
42,Missouri,Hickory,0,2020-05-09
43,Missouri,Holt,1,2020-05-09
44,Missouri,Howard,3,2020-05-09
45,Missouri,Howell,5,2020-05-09
46,Missouri,Iron,2,2020-05-09
47,Missouri,Jackson,380,2020-05-09
48,Missouri,Jasper,16,2020-05-09
49,Missouri,Jefferson,289,2020-05-09
50,Missouri,Johnson,62,2020-05-09
51,Missouri,Joplin,8,2020-05-09
52,Missouri,Kansas City,739,2020-05-09
53,Missouri,Knox,0,2020-05-09
54,Missouri,Laclede,0,2020-05-09
55,Missouri,Lafayette,59,2020-05-09
56,Missouri,Lawrence,7,2020-05-09
57,Missouri,Lewis,6,2020-05-09
58,Missouri,Lincoln,54,2020-05-09
59,Missouri,Linn,5,2020-05-09
60,Missouri,Livingston,3,2020-05-09
61,Missouri,Macon,2,2020-05-09
62,Missouri,Madison,2,2020-05-09
63,Missouri,Maries,2,2020-05-09
64,Missouri,Marion,5,2020-05-09
65,Missouri,McDonald,4,2020-05-09
66,Missouri,Mercer,0,2020-05-09
67,Missouri,Miller,3,2020-05-09
68,Missouri,Mississippi,49,2020-05-09
69,Missouri,Moniteau,43,2020-05-09
70,Missouri,Monroe,0,2020-05-09
71,Missouri,Montgomery,7,2020-05-09
72,Missouri,Morgan,7,2020-05-09
73,Missouri,New Madrid,11,2020-05-09
74,Missouri,Newton,11,2020-05-09
75,Missouri,Nodaway,5,2020-05-09
76,Missouri,Oregon,2,2020-05-09
77,Missouri,Osage,5,2020-05-09
78,Missouri,Ozark,0,2020-05-09
79,Missouri,Pemiscot,57,2020-05-09
80,Missouri,Perry,45,2020-05-09
81,Missouri,Pettis,57,2020-05-09
82,Missouri,Phelps,2,2020-05-09
83,Missouri,Pike,13,2020-05-09
84,Missouri,Platte,39,2020-05-09
85,Missouri,Polk,1,2020-05-09
86,Missouri,Pulaski,36,2020-05-09
87,Missouri,Putnam,0,2020-05-09
88,Missouri,Ralls,1,2020-05-09
89,Missouri,Randolph,8,2020-05-09
90,Missouri,Ray,12,2020-05-09
91,Missouri,Reynolds,2,2020-05-09
92,Missouri,Ripley,5,2020-05-09
93,Missouri,Saline,214,2020-05-09
94,Missouri,Schuyler,0,2020-05-09
95,Missouri,Scotland,4,2020-05-09
96,Missouri,Scott,78,2020-05-09
97,Missouri,Shannon,0,2020-05-09
98,Missouri,Shelby,1,2020-05-09
99,Missouri,St. Charles,655,2020-05-09
100,Missouri,St. Clair,2,2020-05-09
101,Missouri,St. Francois,29,2020-05-09
102,Missouri,St. Louis City,1408,2020-05-09
103,Missouri,St. Louis County,3667,2020-05-09
104,Missouri,Ste. Genevieve,8,2020-05-09
105,Missouri,Stoddard,24,2020-05-09
106,Missouri,Stone,3,2020-05-09
107,Missouri,Sullivan,1,2020-05-09
108,Missouri,Taney,12,2020-05-09
109,Missouri,Texas,0,2020-05-09
110,Missouri,Vernon,4,2020-05-09
111,Missouri,Warren,24,2020-05-09
112,Missouri,Washington,9,2020-05-09
113,Missouri,Wayne,0,2020-05-09
114,Missouri,Webster,16,2020-05-09
115,Missouri,Worth,1,2020-05-09
116,Missouri,Wright,10,2020-05-09
117,Missouri,TBD,2,2020-05-09
