State,﻿County,Cases,Date
North Dakota,Bowman,1,2020-05-09
North Dakota,Divide,1,2020-05-09
North Dakota,Eddy,1,2020-05-09
North Dakota,Emmons,1,2020-05-09
North Dakota,Foster,1,2020-05-09
North Dakota,Grant,1,2020-05-09
North Dakota,McIntosh,1,2020-05-09
North Dakota,Nelson,1,2020-05-09
North Dakota,Oliver,1,2020-05-09
North Dakota,Renville,1,2020-05-09
North Dakota,Sioux,1,2020-05-09
North Dakota,Traill,1,2020-05-09
North Dakota,Benson,2,2020-05-09
North Dakota,McHenry,2,2020-05-09
North Dakota,Wells,2,2020-05-09
North Dakota,Mercer,3,2020-05-09
North Dakota,Pierce,3,2020-05-09
North Dakota,Ransom,3,2020-05-09
North Dakota,Rolette,3,2020-05-09
North Dakota,Sargent,3,2020-05-09
North Dakota,Slope,3,2020-05-09
North Dakota,Barnes,4,2020-05-09
North Dakota,Burke,5,2020-05-09
North Dakota,McLean,5,2020-05-09
North Dakota,Pembina,6,2020-05-09
North Dakota,Ramsey,7,2020-05-09
North Dakota,Richland,8,2020-05-09
North Dakota,Walsh,8,2020-05-09
North Dakota,Dunn,11,2020-05-09
North Dakota,Stutsman,13,2020-05-09
North Dakota,McKenzie,15,2020-05-09
North Dakota,Williams,18,2020-05-09
North Dakota,Ward,27,2020-05-09
North Dakota,Morton,35,2020-05-09
North Dakota,Mountrail,37,2020-05-09
North Dakota,Stark,61,2020-05-09
North Dakota,Burleigh,103,2020-05-09
North Dakota,Grand Forks,284,2020-05-09
North Dakota,Cass,781,2020-05-09
