,State,County,Cases,Deaths,Date
0,Oklahoma,Ok,Ok,Ok,2020-05-09
1,Oklahoma,Covid,Covid,Covid,2020-05-09
2,Oklahoma,Cases,Cases,Cases,2020-05-09
3,Oklahoma,New,New,New,2020-05-09
4,Oklahoma,Patient,Total,Total,2020-05-09
5,Oklahoma,County,Cases,Deaths,2020-05-09
6,Oklahoma,Oklahoma,905,41,2020-05-09
7,Oklahoma,Tulsa,684,36,2020-05-09
8,Oklahoma,Cleveland,453,32,2020-05-09
9,Oklahoma,Texas,343,3,2020-05-09
10,Oklahoma,Washington,291,27,2020-05-09
11,Oklahoma,Wagoner,126,17,2020-05-09
12,Oklahoma,Comanche,116,2,2020-05-09
13,Oklahoma,Canadian,107,3,2020-05-09
14,Oklahoma,Caddo,97,9,2020-05-09
15,Oklahoma,Delaware,92,15,2020-05-09
16,Oklahoma,Mcclain,85,2,2020-05-09
17,Oklahoma,Osage,85,8,2020-05-09
18,Oklahoma,Creek,82,7,2020-05-09
19,Oklahoma,Adair,72,3,2020-05-09
20,Oklahoma,Rogers,70,5,2020-05-09
21,Oklahoma,Greer,65,6,2020-05-09
22,Oklahoma,Pottawatomie,54,4,2020-05-09
23,Oklahoma,Kay,48,7,2020-05-09
24,Oklahoma,Payne,45,1,2020-05-09
25,Oklahoma,Grady,42,2,2020-05-09
26,Oklahoma,Pittsburg,39,2,2020-05-09
27,Oklahoma,Ottawa,34,1,2020-05-09
28,Oklahoma,Cherokee,30,1,2020-05-09
29,Oklahoma,Pawnee,29,2,2020-05-09
30,Oklahoma,Muskogee,28,6,2020-05-09
31,Oklahoma,Mayes,24,4,2020-05-09
32,Oklahoma,Nowata,22,0,2020-05-09
33,Oklahoma,Garfield,22,1,2020-05-09
34,Oklahoma,Stephens,22,1,2020-05-09
35,Oklahoma,Seminole,20,2,2020-05-09
36,Oklahoma,Tillman,19,0,2020-05-09
37,Oklahoma,Jackson,19,0,2020-05-09
38,Oklahoma,Beaver,19,0,2020-05-09
39,Oklahoma,Logan,18,1,2020-05-09
40,Oklahoma,Lincoln,17,2,2020-05-09
41,Oklahoma,Okmulgee,16,0,2020-05-09
42,Oklahoma,Garvin,14,1,2020-05-09
43,Oklahoma,Sequoyah,13,3,2020-05-09
44,Oklahoma,Le,13,1,2020-05-09
45,Oklahoma,Flore,13,0,2020-05-09
46,Oklahoma,Craig,12,1,2020-05-09
47,Oklahoma,Bryan,11,0,2020-05-09
48,Oklahoma,Custer,10,2,2020-05-09
49,Oklahoma,Pontotoc,8,0,2020-05-09
50,Oklahoma,Mccurtain,8,0,2020-05-09
51,Oklahoma,Kingfisher,7,0,2020-05-09
52,Oklahoma,Noble,6,0,2020-05-09
53,Oklahoma,Kiowa,6,0,2020-05-09
54,Oklahoma,Beckham,6,1,2020-05-09
55,Oklahoma,Carter,5,0,2020-05-09
56,Oklahoma,Haskell,5,1,2020-05-09
57,Oklahoma,Latimer,5,2,2020-05-09
58,Oklahoma,Cotton,5,1,2020-05-09
59,Oklahoma,Major,5,0,2020-05-09
60,Oklahoma,Mcintosh,3,0,2020-05-09
61,Oklahoma,Johnston,3,0,2020-05-09
62,Oklahoma,Woods,3,0,2020-05-09
63,Oklahoma,Jefferson,3,0,2020-05-09
64,Oklahoma,Choctaw,3,0,2020-05-09
65,Oklahoma,Love,2,0,2020-05-09
66,Oklahoma,Blaine,2,0,2020-05-09
67,Oklahoma,Murray,2,0,2020-05-09
68,Oklahoma,Marshall,2,0,2020-05-09
69,Oklahoma,Grant,2,0,2020-05-09
70,Oklahoma,Dewey,1,0,2020-05-09
71,Oklahoma,Woodward,1,0,2020-05-09
72,Oklahoma,Pushmataha,1,0,2020-05-09
73,Oklahoma,Atoka,1,0,2020-05-09
74,Oklahoma,Alfalfa,1,0,2020-05-09
75,Oklahoma,Okfuskee,1,0,2020-05-09
76,Oklahoma,Harper,1,0,2020-05-09
77,Oklahoma,Cimarron,4424,266,2020-05-09
