,COVID-19 Positive Cases and Fatalities by County as of 5/09 at 10:45AM CST,State,Unnamed: 1,Unnamed: 2,Date
0,County,Texas,Cases,Fatalities,2020-05-09
1,Anderson,Texas,41,0,2020-05-09
2,Andrews,Texas,21,0,2020-05-09
3,Angelina,Texas,100,0,2020-05-09
4,Aransas,Texas,2,0,2020-05-09
5,Archer,Texas,0,0,2020-05-09
6,Armstrong,Texas,2,0,2020-05-09
7,Atascosa,Texas,22,1,2020-05-09
8,Austin,Texas,15,0,2020-05-09
9,Bailey,Texas,2,0,2020-05-09
10,Bandera,Texas,6,0,2020-05-09
11,Bastrop,Texas,108,2,2020-05-09
12,Baylor,Texas,0,0,2020-05-09
13,Bee,Texas,6,0,2020-05-09
14,Bell,Texas,220,3,2020-05-09
15,Bexar,Texas,1835,56,2020-05-09
16,Blanco,Texas,6,0,2020-05-09
17,Borden,Texas,0,0,2020-05-09
18,Bosque,Texas,5,0,2020-05-09
19,Bowie,Texas,76,2,2020-05-09
20,Brazoria,Texas,644,9,2020-05-09
21,Brazos,Texas,256,18,2020-05-09
22,Brewster,Texas,1,0,2020-05-09
23,Briscoe,Texas,1,0,2020-05-09
24,Brooks,Texas,1,0,2020-05-09
25,Brown,Texas,38,6,2020-05-09
26,Burleson,Texas,15,0,2020-05-09
27,Burnet,Texas,26,0,2020-05-09
28,Caldwell,Texas,26,0,2020-05-09
29,Calhoun,Texas,36,3,2020-05-09
30,Callahan,Texas,6,1,2020-05-09
31,Cameron,Texas,494,22,2020-05-09
32,Camp,Texas,7,0,2020-05-09
33,Carson,Texas,3,0,2020-05-09
34,Cass,Texas,17,0,2020-05-09
35,Castro,Texas,22,1,2020-05-09
36,Chambers,Texas,48,0,2020-05-09
37,Cherokee,Texas,18,1,2020-05-09
38,Childress,Texas,1,0,2020-05-09
39,Clay,Texas,3,0,2020-05-09
40,Cochran,Texas,1,0,2020-05-09
41,Coke,Texas,1,0,2020-05-09
42,Coleman,Texas,2,0,2020-05-09
43,Collin,Texas,887,27,2020-05-09
44,Collingsworth,Texas,1,0,2020-05-09
45,Colorado,Texas,16,0,2020-05-09
46,Comal,Texas,65,6,2020-05-09
47,Comanche,Texas,3,1,2020-05-09
48,Concho,Texas,1,0,2020-05-09
49,Cooke,Texas,12,0,2020-05-09
50,Coryell,Texas,207,2,2020-05-09
51,Cottle,Texas,4,1,2020-05-09
52,Crane,Texas,2,0,2020-05-09
53,Crockett,Texas,0,0,2020-05-09
54,Crosby,Texas,2,1,2020-05-09
55,Culberson,Texas,0,0,2020-05-09
56,Dallam,Texas,13,0,2020-05-09
57,Dallas,Texas,5369,135,2020-05-09
58,Dawson,Texas,30,1,2020-05-09
59,DeWitt,Texas,15,1,2020-05-09
60,Deaf Smith,Texas,46,0,2020-05-09
61,Delta,Texas,1,0,2020-05-09
62,Denton,Texas,902,25,2020-05-09
63,Dickens,Texas,1,0,2020-05-09
64,Dimmit,Texas,1,0,2020-05-09
65,Donley,Texas,25,0,2020-05-09
66,Duval,Texas,5,0,2020-05-09
67,Eastland,Texas,3,0,2020-05-09
68,Ector,Texas,95,4,2020-05-09
69,Edwards,Texas,0,0,2020-05-09
70,El Paso,Texas,1276,32,2020-05-09
71,Ellis,Texas,202,11,2020-05-09
72,Erath,Texas,14,1,2020-05-09
73,Falls,Texas,6,0,2020-05-09
74,Fannin,Texas,23,1,2020-05-09
75,Fayette,Texas,24,1,2020-05-09
76,Fisher,Texas,0,0,2020-05-09
77,Floyd,Texas,4,0,2020-05-09
78,Foard,Texas,0,0,2020-05-09
79,Fort Bend,Texas,1357,36,2020-05-09
80,Franklin,Texas,3,0,2020-05-09
81,Freestone,Texas,7,0,2020-05-09
82,Frio,Texas,34,0,2020-05-09
83,Gaines,Texas,3,0,2020-05-09
84,Galveston,Texas,676,29,2020-05-09
85,Garza,Texas,3,0,2020-05-09
86,Gillespie,Texas,4,0,2020-05-09
87,Glasscock,Texas,1,0,2020-05-09
88,Goliad,Texas,7,0,2020-05-09
89,Gonzales,Texas,40,2,2020-05-09
90,Gray,Texas,73,0,2020-05-09
91,Grayson,Texas,83,0,2020-05-09
92,Gregg,Texas,117,0,2020-05-09
93,Grimes,Texas,42,1,2020-05-09
94,Guadalupe,Texas,92,0,2020-05-09
95,Hale,Texas,37,4,2020-05-09
