,Name,Link,Phone
0,Appeals,https://sb-court.org/locations/appeals-and-appellate-division,(909) 384-1888
1,Barstow District,https://sb-court.org/locations/barstow-district,
2,Big Bear District,https://sb-court.org/locations/big-bear-district,(760) 718-3700
3,Fontana District,https://sb-court.org/locations/fontana-district,(909) 350-9322
4,Joshua Tree District,https://sb-court.org/locations/joshua-tree-district,((760) 974) 3048 [criminal/traffic]; (760) 974-3047 [family law]
5,Mental Health Court,https://sb-court.org/locations/mental-health-court,(909) 498-2296
6,Needles District,https://sb-court.org/locations/needles-district,(760) 718-3700
7,Rancho Cucamonga District,https://sb-court.org/locations/rancho-cucamonga-district,(909) 350-9764
8,San Bernardino Justice Center,https://www.sb-court.org/locations/san-bernardino,
9,Victorville District,https://sb-court.org/locations/victorville-district,(760) 245-6215
10,San Bernardino Juvenile Delinquency,https://sb-court.org/locations/juvenile-courts/san-bernardino-juvenile-delinquency,(909) 269-8840
11,San Bernardino Juvenile Dependency,https://sb-court.org/locations/juvenile-courts/san-bernardino-juvenile-dependency,(909) 269-8900
12,San Bernardino Child Support Division,https://sb-court.org/locations/san-bernardino-justice-center/child-support-division-san-bernardino-district,(909) 269-8789
13,San Bernardino Family Law,https://sb-court.org/locations/san-bernardino-justice-center/family-law-division-san-bernardino-district,(909) 521-3136
14,Airport Courthouse,http://www.lacourt.org/courthouse/info/lax,(310) 725-3000
15,Alfred J. McCourtney Juvenile Justice Center,http://www.lacourt.org/courthouse/info/lan,(661) 483-5924
16,Alhambra Courthouse,http://www.lacourt.org/courthouse/info/alh,(626) 293-2100
17,Bellflower Courthouse,http://www.lacourt.org/courthouse/info/lc,(562) 345-3300
18,Beverly Hills Courthouse,http://www.lacourt.org/courthouse/info/bh,(310) 281-2400
19,Burbank Courthouse,http://www.lacourt.org/courthouse/info/bur,(818) 260-8400
20,Catalina Courthouse,http://www.lacourt.org/courthouse/info/cat,(562) 256-3100
21,Central Arraignment Courthouse,http://www.lacourt.org/courthouse/info/cac,(213) 617-5699
22,Central Civil West Courthouse,http://www.lacourt.org/courthouse/info/ccw,(213) 351-7598
23,Chatsworth Courthouse,http://www.lacourt.org/courthouse/info/cha,(818) 407-2200
24,Clara Shortridge Foltz Criminal Justice Center,http://www.lacourt.org/courthouse/info/ccb,(213) 628-7900
25,Compton Courthouse,http://www.lacourt.org/courthouse/info/com,(310) 761-4300
26,Downey Courthouse,http://www.lacourt.org/courthouse/info/dow,(562) 658-0500
27,East Los Angeles Courthouse,http://www.lacourt.org/courthouse/info/ela,(323) 881-5800
28,Eastlake Juvenile Court,http://www.lacourt.org/courthouse/info/elj,(323) 227-4399
29,Edmund D. Edelman Children's Court,http://www.lacourt.org/courthouse/info/ccj,(323) 307-8000
30,El Monte Courthouse,http://www.lacourt.org/courthouse/info/elm,(626) 401-2200
31,Glendale Courthouse,http://www.lacourt.org/courthouse/info/gln,(818) 265-6400
32,Governor George Deukmejian Courthouse,http://www.lacourt.org/courthouse/info/lb,(562) 256-3100
33,Inglewood Courthouse,http://www.lacourt.org/courthouse/info/ing,(310) 419-1300
34,Inglewood Juvenile Courthouse,http://www.lacourt.org/courthouse/info/igj,(310) 412-8301
35,Los Padrinos Juvenile Courthouse,http://www.lacourt.org/courthouse/info/lpj,(562) 658-0700
36,Metropolitan Courthouse,http://www.lacourt.org/courthouse/info/met,(213) 745-3202
37,Michael Antonovich Antelope Valley Courthouse,http://www.lacourt.org/courthouse/info/atp,(661) 483-5500
38,Norwalk Courthouse,http://www.lacourt.org/courthouse/info/se,(562) 345-3700
39,Pasadena Courthouse,http://www.lacourt.org/courthouse/info/pas,(626) 396-3300
40,Pomona Courthouse South,http://www.lacourt.org/courthouse/info/ea,(909) 802-1100
41,San Fernando Courthouse,http://www.lacourt.org/courthouse/info/las,(818) 256-1800
42,Santa Clarita Courthouse,http://www.lacourt.org/courthouse/info/new,(661) 253-5600
43,Santa Monica Courthouse,http://www.lacourt.org/courthouse/info/sm,(310) 255-1840
44,Spring Street Courthouse,http://www.lacourt.org/courthouse/info/ss,(213) 310-7000
45,Stanley Mosk Courthouse,http://www.lacourt.org/courthouse/info/la,(213) 830-0803
46,Sylmar Juvenile Courthouse,http://www.lacourt.org/courthouse/info/slj,(818) 256-1180
47,Torrance Courthouse,http://www.lacourt.org/courthouse/info/sba,(310) 787-3700
