,CITY,NAME,URL,ADDRESS,NUMBER,SERVED,HOURS,SUPERIOR
0,Adelanto,Appeals,https://sb-court.org/locations/appeals-and-appellate-division,"8303 Haven AvenueRancho Cucamonga, CA 91730",(909) 384-1888,"APPEALS,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM",San Bernardino County Superior Court
1,Adelanto,Barstow District,https://sb-court.org/locations/barstow-district,"235 East Mountain View StreetBarstow, CA 92311",,"LANDLORD/TENANT,SMALL,CLAIMS,TRAFFIC,NON-TRAFFIC,INFRACTIONS,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM,Self-Help Assistance,M-Thu: 8:30AM - 4:00PM",San Bernardino County Superior Court
2,Adelanto,Big Bear District,https://sb-court.org/locations/big-bear-district,"477 Summit BlvdBig Bear Lake, CA 92315",(760) 718-3700,"REMOTE,VIDEO,PROCEEDINGS,(INFRACTIONS),","Building,F: 8:30AM - 12:30PM (2nd and 4th Fridays only),Clerks,F: 8:30AM - 12:30PM,Self-Help Assistance,F: 8:30AM - 12:30PM (4th Fridays only)",San Bernardino County Superior Court
3,Adelanto,Fontana District,https://sb-court.org/locations/fontana-district,"17780 Arrow BoulevardFontana, CA 92335",(909) 350-9322,"LANDLORD-TENANT,SMALL,CLAIMS,TRAFFIC,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM,Self-Help Assistance,M-Thu: 8:30AM - 4:00PM,F: closed except for workshops",San Bernardino County Superior Court
4,Adelanto,Joshua Tree District,https://sb-court.org/locations/joshua-tree-district,"6527 White Feather RoadJoshua Tree, CA 92252",((760) 974) 3048 [criminal/traffic]; (760) 974-3047 [family law],"FAMILY,LAW,CRIMINAL,TRAFFIC,SMALL,CLAIMS,LANDLORD-TENANT,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM,Self-Help Assistance,F: 9:00AM - 11:30AM, 12:30PM - 3:00PM (2nd and 4th Fridays only)",San Bernardino County Superior Court
5,Adelanto,Mental Health Court,https://sb-court.org/locations/mental-health-court,Arrowhead Regional Medical CenterBehavioral Health Building,"Colton, CA 92324","MENTAL,HEALTH,","Building,M: NO PUBLIC ACCESS TO FACILITY EXCEPT DURING COURT HEARINGS",San Bernardino County Superior Court
6,Adelanto,Needles District,https://sb-court.org/locations/needles-district,"1111 Bailey AveNeedles, CA 92363",(760) 718-3700,"REMOTE,VIDEO,PROCEEDINGS,(INFRACTIONS),","Building,F: 8:30AM - 12:30PM (1st Friday of the month only),Clerks,F: 8:30AM - 12:30PM (first Friday of the month only),Self-Help Assistance,F: 8:30AM - 12:30PM (1st Friday of the month only)",San Bernardino County Superior Court
7,Adelanto,Rancho Cucamonga District,https://sb-court.org/locations/rancho-cucamonga-district,"8303 Haven AvenueRancho Cucamonga, CA 91730",(909) 350-9764,"CRIMINAL,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM",San Bernardino County Superior Court
8,Adelanto,San Bernardino Justice Center,https://www.sb-court.org/locations/san-bernardino,"247 West Third StreetSan Bernardino, CA 92415",,"CIVIL,CRIMINAL,PROBATE,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM",San Bernardino County Superior Court
9,Adelanto,Victorville District,https://sb-court.org/locations/victorville-district,"14455 Civic DriveVictorville, CA 92392",(760) 245-6215,"CRIMINAL,FAMILY,LAW,(SOME),JUVENILE,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM,Self-Help Assistance,M-F: 8:30AM - 4:00PM",San Bernardino County Superior Court
10,Adelanto,San Bernardino Juvenile Delinquency,https://sb-court.org/locations/juvenile-courts/san-bernardino-juvenile-delinquency,"900 East Gilbert Street, Bldg. 35San Bernardino, CA 92415",(909) 269-8840,"JUVENILE,DELINQENCY,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM",San Bernardino County Superior Court
11,Adelanto,San Bernardino Juvenile Dependency,https://sb-court.org/locations/juvenile-courts/san-bernardino-juvenile-dependency,"860 East Gilbert StreetSan Bernardino, CA 92415",(909) 269-8900,"JUVENILE,DEPENDENCY,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM",San Bernardino County Superior Court
12,Adelanto,San Bernardino Child Support Division,https://sb-court.org/locations/san-bernardino-justice-center/child-support-division-san-bernardino-district,"655 West Second St., Second FloorSan Bernardino, CA 92415",(909) 269-8789,"(GOVERNMENT),CHILD,SUPPORT,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM,Self-Help Assistance,M-Thu: 8:30AM - 4:00PM,F: 8:30AM - 12:00PM",San Bernardino County Superior Court
13,Adelanto,San Bernardino Family Law,https://sb-court.org/locations/san-bernardino-justice-center/family-law-division-san-bernardino-district,351 North Arrowhead AvenueSan Bernardino CA 92415,(909) 521-3136,"FAMILY,LAW,","Building,M-F: 7:30AM - 4:00PM,Clerks,M-F: 8:00AM - 4:00PM,Self-Help Assistance,M-Thu: 8:30AM - 4:00PM",San Bernardino County Superior Court
14,Agoura Hills,Airport Courthouse,http://www.lacourt.org/courthouse/info/lax,"11701 S. La CienegaLos Angeles, CA 90045",(310) 725-3000,"CRIMINAL,","Building,M-F: 8:00AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM",Los Angeles County Superior Court
15,Agoura Hills,Alfred J. McCourtney Juvenile Justice Center,http://www.lacourt.org/courthouse/info/lan,"1040 W. Avenue JLancaster, CA 93534",(661) 483-5924,"JUVENILE,","Building,M-F: 8:30AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM",Los Angeles County Superior Court
16,Agoura Hills,Alhambra Courthouse,http://www.lacourt.org/courthouse/info/alh,"150 West CommonwealthAlhambra, CA 91801",(626) 293-2100,"CRIMINAL,","Building,M-F: 8:00AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM",Los Angeles County Superior Court
17,Agoura Hills,Bellflower Courthouse,http://www.lacourt.org/courthouse/info/lc,"10025 East Flower StreetBellflower, CA 90706",(562) 345-3300,"CRIMINAL,TRAFFIC,","Building,M-F: 8:00AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM",Los Angeles County Superior Court
18,Agoura Hills,Beverly Hills Courthouse,http://www.lacourt.org/courthouse/info/bh,"9355 Burton WayBeverly Hills, CA 90210",(310) 281-2400,"TRAFFIC,","Building,M-F: 8:00AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM",Los Angeles County Superior Court
19,Agoura Hills,Burbank Courthouse,http://www.lacourt.org/courthouse/info/bur,"300 East OliveBurbank, CA 91502",(818) 260-8400,"CIVIL,CRIMINAL,TRAFFIC,","Building,M-F: 8:00AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM",Los Angeles County Superior Court
20,Agoura Hills,Catalina Courthouse,http://www.lacourt.org/courthouse/info/cat,"215 Sumner AvenueAvalon, CA 90704",(562) 256-3100,"CRIMINAL,","Building,F: 8:30AM - 1:00PM",Los Angeles County Superior Court
21,Agoura Hills,Central Arraignment Courthouse,http://www.lacourt.org/courthouse/info/cac,"429 Bauchet St.Los Angeles, CA 90012",(213) 617-5699,"CRIMINAL,","Building,M-F: 8:00AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM",Los Angeles County Superior Court
22,Agoura Hills,Central Civil West Courthouse,http://www.lacourt.org/courthouse/info/ccw,"600 South Commonwealth Ave.Los Angeles, CA 90005",(213) 351-7598,"FAMILY,LAW,","Building,M-F: 7:30AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM",Los Angeles County Superior Court
23,Agoura Hills,Chatsworth Courthouse,http://www.lacourt.org/courthouse/info/cha,"9425 Penfield Ave.Chatsworth, CA 91311",(818) 407-2200,"CIVIL,FAMILY,LAW,SMALL,CLAIMS,TRAFFIC,","Building,M-F: 8:00AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM,Self-Help Assistance,M-Thu: 8:30AM - 12:30PM, 1:30PM - 4:30PM,F: 8:30AM - 12:30PM",Los Angeles County Superior Court
24,Agoura Hills,Clara Shortridge Foltz Criminal Justice Center,http://www.lacourt.org/courthouse/info/ccb,"210 West Temple StreetLos Angeles, CA 90012",(213) 628-7900,"CRIMINAL,","Building,M-F: 7:00AM - 5:00PM,Clerks,M-F: 8:30AM - 4:30PM",Los Angeles County Superior Court
25,Agoura Hills,Compton Courthouse,http://www.lacourt.org/courthouse/info/com,"200 West Compton Blvd.Compton, CA 90220",(310) 761-4300,"CIVIL,CRIMINAL,FAMILY,LAW,JUVENILE,SMALL,CLAIMS,TRAFFIC,","Building,M-F: 7:30AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM,Self-Help Assistance,M-Thu: 9:00AM - 12:30PM, 1:30PM - 5PM,F: 9:00AM - 12:30PM",Los Angeles County Superior Court
26,Agoura Hills,Downey Courthouse,http://www.lacourt.org/courthouse/info/dow,"7500 East Imperial HighwayDowney, CA 90242",(562) 658-0500,"CRIMINAL,SMALL,CLAIMS,TRAFFIC,","Building,M-F: 8:00AM - 4:30PM,Clerks,M-F: 8:30AM - 4:30PM",Los Angeles County Superior Court
