,COUNTY,JUDGES
0,"Superior Court of California, County of Alameda",Hon. Sandra K. Bean
1,"Superior Court of California, County of Alameda",Hon. Gail Brewster Bereola
2,"Superior Court of California, County of Alameda",Hon. Jacob Blea III
3,"Superior Court of California, County of Alameda",Hon. Jeffrey S. Brand
4,"Superior Court of California, County of Alameda",Hon. Kimberly M. Briggs
5,"Superior Court of California, County of Alameda",Hon. Carol S. Brosnahan
6,"Superior Court of California, County of Alameda",Hon. Rhonda Burgess
7,"Superior Court of California, County of Alameda",Hon. Wynne S. Carvill
8,"Superior Court of California, County of Alameda",Hon. Arturo Castro
9,"Superior Court of California, County of Alameda",Hon. Somnath Raj Chatterjee
10,"Superior Court of California, County of Alameda",Hon. Jason B. Chin
11,"Superior Court of California, County of Alameda",Hon. C. Don Clay
12,"Superior Court of California, County of Alameda",Hon. Jason Anthony Clay
13,"Superior Court of California, County of Alameda",Hon. Kimberly E. Colwell
14,"Superior Court of California, County of Alameda",Hon. James P Cramer
15,"Superior Court of California, County of Alameda","Hon. Armando G. Cuellar, Jr."
16,"Superior Court of California, County of Alameda",Hon. Paul A. Delucchi
17,"Superior Court of California, County of Alameda",Hon. Tara M. Desautels
18,"Superior Court of California, County of Alameda",Hon. Barbara A. Dickinson
19,"Superior Court of California, County of Alameda",Hon. Leopoldo E. Dorado
20,"Superior Court of California, County of Alameda",Hon. Tara M. Flanagan
21,"Superior Court of California, County of Alameda",Hon. Margaret Fujioka
22,"Superior Court of California, County of Alameda",Hon. Michael J. Gaffey
23,"Superior Court of California, County of Alameda",Hon. Lupe C. Garcia
24,"Superior Court of California, County of Alameda",Hon. Delbert C. Gee
25,"Superior Court of California, County of Alameda",Hon. Evelio M. Grillo
26,"Superior Court of California, County of Alameda",Hon. Brenda Fay Harbin-Forte
27,"Superior Court of California, County of Alameda",Hon. Dennis W. Hayashi
28,"Superior Court of California, County of Alameda",Hon. Paul D. Herbert
29,"Superior Court of California, County of Alameda",Hon. Stuart L. Hing
30,"Superior Court of California, County of Alameda",Hon. Allan D. Hymer
31,"Superior Court of California, County of Alameda",Hon. Scott Jackson
32,"Superior Court of California, County of Alameda",Hon. Morris D. Jacobson
33,"Superior Court of California, County of Alameda",Hon. Ursula M. Jones Dickson
34,"Superior Court of California, County of Alameda",Hon. Stephen D. Kaus
35,"Superior Court of California, County of Alameda",Hon. Victoria Kolakowski
36,"Superior Court of California, County of Alameda",Hon. Jo-Lynne Q. Lee
37,"Superior Court of California, County of Alameda",Hon. Ronni B. MacLaren
38,"Superior Court of California, County of Alameda",Hon. Jennifer Madden
39,"Superior Court of California, County of Alameda",Hon. Michael M. Markman
40,"Superior Court of California, County of Alameda",Hon. Mark A. McCannon
41,"Superior Court of California, County of Alameda",Hon. Robert D. McGuiness
42,"Superior Court of California, County of Alameda",Hon. Dennis J. McLaughlin
43,"Superior Court of California, County of Alameda",Hon. Kevin R. Murphy
44,"Superior Court of California, County of Alameda",Hon. Thomas J. Nixon
45,"Superior Court of California, County of Alameda",Hon. Yolanda Neill Northridge
46,"Superior Court of California, County of Alameda",Hon. Scott D. Patton
47,"Superior Court of California, County of Alameda",Hon. Ioana Petrou
48,"Superior Court of California, County of Alameda",Hon. Stephen M. Pulido
49,"Superior Court of California, County of Alameda",Hon. Thomas Matthew Reardon
50,"Superior Court of California, County of Alameda",Hon. James R. Reilly
51,"Superior Court of California, County of Alameda",Hon. Gloria F. Rhynes
52,"Superior Court of California, County of Alameda",Hon. Victor A. Rodriguez
53,"Superior Court of California, County of Alameda",Hon. Frank Roesch
54,"Superior Court of California, County of Alameda",Hon. Thomas C. Rogers
55,"Superior Court of California, County of Alameda",Hon. Jon R. Rolefson
56,"Superior Court of California, County of Alameda",Hon. Richard L. Seabolt
57,"Superior Court of California, County of Alameda",Hon. Amy L. Sekany
58,"Superior Court of California, County of Alameda",Hon. Brad Seligman
59,"Superior Court of California, County of Alameda",Hon. Charles A. Smiley III
60,"Superior Court of California, County of Alameda",Hon. Winifred Younge Smith
61,"Superior Court of California, County of Alameda",Hon. Julia Spain
62,"Superior Court of California, County of Alameda",Hon. Andrew A. Steckler
63,"Superior Court of California, County of Alameda",Hon. Thomas E. Stevens
64,"Superior Court of California, County of Alameda",Hon. Gregory A. Syren
65,"Superior Court of California, County of Alameda",Hon. Trina Thompson
66,"Superior Court of California, County of Alameda",Hon. Delia Trevino
67,"Superior Court of California, County of Alameda",Hon. Jenna M. Whitman
68,"Superior Court of California, County of Alameda",Hon. Noel Wise
69,"Superior Court of California, County of Alameda",Hon. Patrick J. Zika
70,"Superior Court of California, County of Alpine",Hon. Thomas D. Kolpacoff
71,"Superior Court of California, County of Alpine",Hon. Richard D. Meyer
72,"Superior Court of California, County of Amador",Hon. Renee C. Day
73,"Superior Court of California, County of Amador",Hon. Steve Hermanson
74,"Superior Court of California, County of Butte",Hon. Stephen E. Benson
75,"Superior Court of California, County of Butte",Hon. Michael P. Candela
76,"Superior Court of California, County of Butte",Hon. Michael R. Deems
77,"Superior Court of California, County of Butte",Hon. Robert A. Glusman
78,"Superior Court of California, County of Butte",Hon. Clare Keithley
79,"Superior Court of California, County of Butte",Hon. Kristen A. Lucena
80,"Superior Court of California, County of Butte",Hon. Sandra L. McLean
81,"Superior Court of California, County of Butte",Hon. Kimberly Merrifield
82,"Superior Court of California, County of Butte",Hon. Tamara L. Mosbarger
83,"Superior Court of California, County of Butte",Hon. Barbara L. Roberts
84,"Superior Court of California, County of Butte",Hon. Jesus A. Rodriguez
85,"Superior Court of California, County of Calaveras",Hon. Timothy S. Healy
86,"Superior Court of California, County of Calaveras",Hon. David Sanders
87,"Superior Court of California, County of Colusa",Hon. Elizabeth Ufkes Olivera
88,"Superior Court of California, County of Colusa",Hon. Jeffrey A. Thompson
89,"Superior Court of California, County of Contra Costa",Hon. Steven K. Austin
90,"Superior Court of California, County of Contra Costa",Hon. Barry Baskin
91,"Superior Court of California, County of Contra Costa",Hon. Christopher R. Bowen
92,"Superior Court of California, County of Contra Costa",Hon. Laurel S. Brady (Lindenbaum)
93,"Superior Court of California, County of Contra Costa",Hon. Charles B. Burch
94,"Superior Court of California, County of Contra Costa",Hon. Theresa J. Canepa
95,"Superior Court of California, County of Contra Costa",Hon. John C. Cope
96,"Superior Court of California, County of Contra Costa",Hon. Judith S. Craddick
97,"Superior Court of California, County of Contra Costa",Hon. Lewis A. Davis
98,"Superior Court of California, County of Contra Costa",Hon. Danielle K. Douglas
99,"Superior Court of California, County of Contra Costa",Hon. Jill C. Fannin
100,"Superior Court of California, County of Contra Costa",Hon. Susanne M. Fenstermacher
101,"Superior Court of California, County of Contra Costa",Hon. Virginia M. George
