,COUNTY,JUDGES,CITY
0,"Superior Court of California, County of Alameda",Sandra K. Bean,Alameda
1,"Superior Court of California, County of Alameda",Gail Brewster Bereola,Alameda
2,"Superior Court of California, County of Alameda",Jacob Blea III,Alameda
3,"Superior Court of California, County of Alameda",Jeffrey S. Brand,Alameda
4,"Superior Court of California, County of Alameda",Kimberly M. Briggs,Alameda
5,"Superior Court of California, County of Alameda",Carol S. Brosnahan,Alameda
6,"Superior Court of California, County of Alameda",Rhonda Burgess,Alameda
7,"Superior Court of California, County of Alameda",Wynne S. Carvill,Alameda
8,"Superior Court of California, County of Alameda",Arturo Castro,Alameda
9,"Superior Court of California, County of Alameda",Somnath Raj Chatterjee,Alameda
10,"Superior Court of California, County of Alameda",Jason B. Chin,Alameda
11,"Superior Court of California, County of Alameda",C. Don Clay,Alameda
12,"Superior Court of California, County of Alameda",Jason Anthony Clay,Alameda
13,"Superior Court of California, County of Alameda",Kimberly E. Colwell,Alameda
14,"Superior Court of California, County of Alameda",James P Cramer,Alameda
15,"Superior Court of California, County of Alameda","Armando G. Cuellar, Jr.",Alameda
16,"Superior Court of California, County of Alameda",Paul A. Delucchi,Alameda
17,"Superior Court of California, County of Alameda",Tara M. Desautels,Alameda
18,"Superior Court of California, County of Alameda",Barbara A. Dickinson,Alameda
19,"Superior Court of California, County of Alameda",Leopoldo E. Dorado,Alameda
20,"Superior Court of California, County of Alameda",Tara M. Flanagan,Alameda
21,"Superior Court of California, County of Alameda",Margaret Fujioka,Alameda
22,"Superior Court of California, County of Alameda",Michael J. Gaffey,Alameda
23,"Superior Court of California, County of Alameda",Lupe C. Garcia,Alameda
24,"Superior Court of California, County of Alameda",Delbert C. Gee,Alameda
25,"Superior Court of California, County of Alameda",Evelio M. Grillo,Alameda
26,"Superior Court of California, County of Alameda",Brenda Fay Harbin-Forte,Alameda
27,"Superior Court of California, County of Alameda",Dennis W. Hayashi,Alameda
28,"Superior Court of California, County of Alameda",Paul D. Herbert,Alameda
29,"Superior Court of California, County of Alameda",Stuart L. Hing,Alameda
30,"Superior Court of California, County of Alameda",Allan D. Hymer,Alameda
31,"Superior Court of California, County of Alameda",Scott Jackson,Alameda
