,Name,Google,Facebook,LinkedIn
0,"JCO Law Firm, PC.",None,None,None
1,Carney Law Firm,None,None,None
2,Yannetti Criminal Defense Law Firm,None,None,None
3,Todd & Weld LLP,None,None,None
4,The Gordon Law Firm LLP,None,None,None
5,Brad J. Mitchell - Thornton Law Firm LLP,None,None,None
6,Zaim Law Firm,None,None,None
7,John T. Barrett - Thornton Law Firm LLP,None,None,None
8,The Law Offices of Kenneth E. Lindauer,None,None,None
9,"Donovan O'Connor & Dodig, LLP",None,None,None
10,"Rudolph Friedmann, LLP",Yes,None,None
11,White & Case LLP,Yes,None,None
12,"Goldberg & Oriel, Attorneys At Law",None,None,None
13,Sankey Law Offices,Yes,None,None
14,Bowditch & Dewey,Yes,Yes,None
15,Andrew S. Wainwright - Thornton Law Firm,Yes,None,None
16,"Law Offices of Joshua L. Goldstein, P.C.",None,None,None
17,"Law Offices of Shaun A. Hannafin, LLC",None,None,None
18,Gordon Law Group,Yes,None,None
19,Tedesco Law Offices,Yes,None,None
20,SederLaw,Yes,None,None
21,Mavrides Law,Yes,None,None
22,Holland & Knight LLP,Yes,None,None
23,"Bulkley, Richardson and Gelinas, LLP",Yes,None,None
24,Law Offices of Mark E. Salomone,Yes,None,None
25,Harry J Vlachos Law Offices,Yes,None,None
26,Marcotte Law Firm,Yes,None,None
27,The Law Offices of Lee Darst,None,None,None
28,"Gordon Rees Scully Mansukhani, LLP",Yes,None,None
29,Parker Scheer LLP Injury Lawyers,Yes,None,None
30,"Sugarman & Sugarman, P.C.",Yes,None,None
31,"Percy Law Group, PC",Yes,None,None
32,Law Office of Shelah T. Feiss,None,Yes,None
33,Ropes & Gray,None,None,None
34,Manoog John C Law Offices,Yes,None,None
35,"The Law Offices of Marian P. Abraham, P.C.",None,None,None
36,The Haymond Law Firm,Yes,Yes,None
37,Dennis E Mc Hugh Law Offices,Yes,None,None
38,"Foley Law Offices, PC",Yes,None,None
39,Fish & Richardson PC,None,None,None
40,"Pellegrini, Seeley, Ryan & Blakesley, P.C.",Yes,None,None
41,Wellesley Divorce & Family Lawyers - MA - Maiona & Maiona PC,Yes,None,None
42,K&L Gates LLP,Yes,None,None
43,"Miller Law Group, P.C.",Yes,Yes,None
44,"Mcgregor & Legere, LLP",Yes,None,None
45,Pierce Atwood LLP,None,None,None
46,Vetstein Law Group,None,None,None
47,Fitch Law Partners LLP,Yes,None,None
48,The Law Firm of Victoria C. Spetter,None,None,None
49,"Campoli, Monteleone & Mozian P.C.",Yes,None,None
50,"Bacon Wilson, P.C.",Yes,Yes,None
51,Steffans Legal - The Employment Law Firm,None,None,None
52,Karger Law Offices,Yes,None,None
53,Valas & Associates,None,None,None
54,Law Offices of Lisa A. Ruggieri,None,None,None
55,"Savitz Law Offices, P.C.",Yes,None,None
56,"HoustonHogle, LLP",Yes,None,None
57,Harmon Law Offices P.C.,None,None,None
58,"Eckel, Hoag, Morgan & O'Connor LLC",Yes,Yes,None
59,Smeloff & Associates Law Offices,None,None,None
60,Perreault Law Offices,None,None,None
61,"Brody, Hardoon, Perkins & Kesten, LLP",None,None,None
62,"Robert Plotkin, P.C.",Yes,Yes,None
63,Baghdady Law Offices,Yes,None,None
64,Marcus Errico Emmer Brooks PC,None,None,None
65,Shepard Law,None,None,None
66,Chernick & Chernick Law,Yes,None,None
67,"Law Offices of Rachel L. Rado, LLC",None,None,None
68,Lennon Law Offices,Yes,Yes,None
69,DLA Piper Us LLP: Rattigan Jr John,None,None,None
70,"DiBella Law Offices, P.C.",None,None,None
71,"The Law Offices of Stephen Neyman, P.C.",Yes,Yes,None
72,Kelly & Associates Injury Lawyers,Yes,None,None
73,"Kerstein, Coren & Lichtenstein LLP",Yes,None,None
74,"The Law Office of Thomas E. Sartini, III, Esq.",Yes,None,None
75,Kelly & Associates Injury Lawyers,None,None,None
76,"Kerstein, Coren & Lichtenstein LLP",Yes,Yes,None
77,"The Law Office of Thomas E. Sartini, III, Esq.",None,None,None
78,"Wolf, Greenfield & Sacks, P.C.",Yes,None,None
79,"Murray Law Offices, LLC",Yes,Yes,None
80,Barron Michael K,None,None,None
81,"McLane Middleton, Professional Association",None,None,None
82,United Law,Yes,Yes,None
83,The Law Office of Christine Carima,None,None,None
84,Paul V Galvani Law Offices,None,None,None
85,"Constance M. Hilton, Attorney at Law",Yes,None,None
86,Cambridge Technology Law LLC,Yes,None,None
87,Cervizzi & Associates,Yes,Yes,None
