,Name,Address,Phone,Website,Opening hours,Rating
0,California Dental Group of Anaheim Hills,"140 S Fairmont Blvd, Anaheim, CA 92808, USA",+1 714-974-0054,http://califdental.com/,"['Monday: 9:00 AM – 5:30 PM', 'Tuesday: 9:00 AM – 5:30 PM', 'Wednesday: 9:00 AM – 5:30 PM', 'Thursday: 9:00 AM – 5:30 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",3.5
1,California Dental Group of Orange,"1502 E Collins Ave, Orange, CA 92867, USA",+1 714-288-8464,http://www.califdental.com/,"['Monday: 9:00 AM – 5:30 PM', 'Tuesday: 9:00 AM – 5:30 PM', 'Wednesday: 9:00 AM – 5:30 PM', 'Thursday: 9:00 AM – 5:30 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.4
2,California KiDDS Pediatric Dentistry,"1011 E St, Reedley, CA 93654, USA",+1 559-743-7095,http://www.calkidds.com/,"['Monday: 8:00 AM – 5:00 PM', 'Tuesday: 8:00 AM – 5:00 PM', 'Wednesday: 8:00 AM – 5:00 PM', 'Thursday: 8:00 AM – 5:00 PM', 'Friday: 8:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5.0
3,Green California Dental Group,"1822 W Burbank Blvd, Burbank, CA 91506, USA",+1 818-238-9700,http://greencaliforniadental.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 6:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 6:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: 9:00 AM – 3:00 PM', 'Sunday: Closed']",4.8
4,California KiDDS Pediatric Dentistry,"7525 N Cedar Ave #105, Fresno, CA 93720, USA",+1 559-439-6600,http://www.calkidds.com/,"['Monday: 8:00 AM – 5:00 PM', 'Tuesday: 8:00 AM – 5:00 PM', 'Wednesday: 8:00 AM – 5:00 PM', 'Thursday: 8:00 AM – 5:00 PM', 'Friday: 8:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.9
5,California Dental Specialty Group,"500 E Remington Dr #19, Sunnyvale, CA 94087, USA",+1 408-749-9888,https://www.sunnyvaledentalspecialty.com/,"['Monday: 8:00 AM – 5:30 PM', 'Tuesday: 8:00 AM – 5:30 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 8:00 AM – 5:30 PM', 'Friday: 8:00 AM – 5:30 PM', 'Saturday: 8:00 AM – 3:00 PM', 'Sunday: Closed']",5.0
6,McClellan Dental Clinic - VA Northern California Health Care System,"5401 Arnold Ave # 88, McClellan Park, CA 95652, USA",+1 916-333-5500,https://www.northerncalifornia.va.gov/locations/McClellan_Dental_Clinic.asp,"['Monday: 8:00 AM – 4:30 PM', 'Tuesday: 8:00 AM – 4:30 PM', 'Wednesday: 8:00 AM – 4:30 PM', 'Thursday: 8:00 AM – 4:30 PM', 'Friday: 8:00 AM – 4:30 PM', 'Saturday: Closed', 'Sunday: Closed']",3.7
7,"California Happy Teeth Family Dentistry: Sumity Sharma, DDS","1123 S Park Victoria Dr, Milpitas, CA 95035, USA",+1 408-214-4714,https://www.californiahappyteeth.com/?utm_source=gmb_auth,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: 9:00 AM – 4:00 PM', 'Sunday: Closed']",4.9
8,Pacific Heights Dental,"2383 California St, San Francisco, CA 94115, USA",+1 415-854-5797,https://www.pacificheightsdental.com/?utm_source=GMBlisting&utm_medium=organic,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.9
9,California KiDDS Pediatric Dentistry,"1900 Shaw Ave #101, Clovis, CA 93611, USA",+1 559-439-5300,http://www.calkidds.com/,"['Monday: 8:00 AM – 5:00 PM', 'Tuesday: 8:00 AM – 5:00 PM', 'Wednesday: 8:00 AM – 5:00 PM', 'Thursday: 8:00 AM – 5:00 PM', 'Friday: 8:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.9
