,Name,Google,Facebook,LinkedIn
0,California Dental Network,None,None,None
1,California Dental Group - Upland,None,None,None
2,CALIFORNIA SHINE DENTAL,None,None,None
3,California Dental Group of Riverside,None,None,None
4,California Dental Group,None,None,None
5,Glenn Dental,None,None,None
6,California Dental Group of Glendale,None,None,None
7,California Dental,None,None,None
8,California Dentistry,None,None,None
9,Dental Group of California,None,None,None
10,Southern California Family Dentistry- Lake Forest,None,None,None
11,California Dental Care and Orthodontics,None,None,None
12,California Dental,None,None,None
13,California Dental Group of South Anaheim,None,None,None
14,"California Shine Dental - Dentist in San Jose, CA",None,None,None
15,Southern California Family Dentistry,None,None,None
16,"Tustin Dentist - Cosmetic Dentist Tustin - Tustin, CA 92780 - California Dental Group Tustin",None,None,None
17,California Dental Group of Anaheim Hills,None,None,None
18,California Dental Group of Orange,None,None,None
19,California Dental Care: Shea Willy W DDS,None,None,None
20,California KiDDS Pediatric Dentistry,None,None,None
21,Green California Dental Group,None,None,None
22,California KiDDS Pediatric Dentistry,None,None,None
23,California Dental Group: Ramin Moravveji DDS,None,None,None
24,California Dental Group of Brea,Yes,None,None
25,California Dental Specialty Group,Yes,Yes,None
26,"California Dental Care, Nahreen Imam, DDS, Inc.",None,None,None
27,McClellan Dental Clinic - VA Northern California Health Care System,None,None,None
28,"California Happy Teeth Family Dentistry: Sumity Sharma, DDS",Yes,Yes,None
29,Lessenevitch Nicholas DDS,Yes,None,None
30,Pacific Heights Dental,Yes,Yes,None
31,California KiDDS Pediatric Dentistry,None,None,None
32,Western Dental & Orthodontics,None,None,None
33,Hospitality Dental & Orthodontics,Yes,None,None
34,"Dr. Jeffrey B. Evans, DDS",None,Yes,None
35,Smileworld Dental,None,None,None
36,Western Dental & Orthodontics,None,None,None
37,Western Dental & Orthodontics,None,None,None
38,Thomas Dental Care,Yes,None,None
39,Downtown Dental,Yes,None,None
40,California Wave Dental Center Inc,None,None,None
41,Western Dental & Orthodontics,None,None,None
42,Milburn Dental,None,Yes,None
43,Sequoia Dental Office,None,None,None
44,San Clemente Dental Associates,Yes,None,None
45,The Super Dentists,None,None,None
46,The Super Dentists - Carmel Valley,Yes,Yes,None
47,Bright Now! Dental,None,None,None
48,The Super Dentists,Yes,None,None
49,LIBERTY Dental Plan of California,Yes,None,None
50,Livermore Dental Care: David Gibson DDS,Yes,None,None
51,Western Dental & Orthodontics,Yes,None,None
52,"Mark Luzania, DDS, Dentist in Reedley CA 93654",Yes,None,None
53,Prestige Dental,Yes,Yes,None
54,Comfort Dental,None,None,None
55,Allure Dental Center Mountain View CA,Yes,Yes,None
56,St Joseph Family Dentistry,Yes,None,None
57,Western Dental & Orthodontics,None,None,None
58,New Smile Dental,Yes,None,None
59,Western Dental & Orthodontics,Yes,Yes,None
60,Owjl Dental Corporation,Yes,Yes,None
61,Western Dental & Orthodontics,None,None,None
62,"Dr. Bert F. Engstrom, DMD",Yes,Yes,None
63,Sonora Dentist,Yes,None,None
64,Claremont Dental Institute,Yes,Yes,None
65,Escondido Family Dental Care & Specialty Center,Yes,Yes,None
66,Pacific Dental Care and Fastbraces®,Yes,Yes,None
67,Western Dental & Orthodontics,Yes,None,None
68,Access Dental,Yes,Yes,None
69,Alta Dental Care,Yes,Yes,None
70,Merced Pediatric Dentistry - Marie Moran DDS,Yes,Yes,None
71,Ideal Smile Dentistry,Yes,Yes,None
72,Clovis Family Dentistry,Yes,None,None
73,StarWhite Dental,None,None,None
74,Access Dental,Yes,Yes,None
75,Access dental,Yes,None,None
76,Dentists of Fontana,Yes,Yes,None
77,Parkside Dental Care,None,Yes,None
78,Glenn Dental,Yes,None,None
79,Dr. Joe Dentistry,Yes,Yes,None
80,Guillermo Donan DDS Fresno Dentist,Yes,None,None
81,"Curt P. Posey DDS, Inc.",Yes,Yes,None
82,"Bellflower Dental Group - Dr. Arkady Tsibel, DDS",Yes,Yes,None
83,Western Dental & Orthodontics,None,None,None
84,Sierra Dental Group,Yes,None,None
85,OnCall Dental - Fresno,Yes,None,None
86,Family Dental Care,None,None,None
87,All Smiles Family & Children Dentistry,Yes,None,None
88,Santa Cruz Dental Group,Yes,Yes,None
89,Better Life Center for Implant and General Dentistry,Yes,Yes,None
90,Western Dental & Orthodontics,Yes,None,None
91,"Dr. Cristian I. Panoff, DDS",None,None,None
92,Cypress Dental of Petaluma,None,Yes,None
93,Bullard Dental Plaza,None,None,None
94,Pacific Dental Services Orange County Support Office,Yes,None,None
95,Kahle Stephanie DDS,Yes,Yes,None
96,Del Mar Dental Center: Gill Damanjit S DDS,Yes,Yes,None
97,Fig Garden Dental Group,Yes,Yes,None
98,Andrew B. Cheong DDS - Adelaide Family Dentistry,Yes,None,None
99,Pacific Dental,Yes,None,None
100,"Sweet Dentistry: Daniel R. Sweet, DDS",None,None,None
101,Marquez Family Dentistry,Yes,Yes,None
102,Deborah Finegold Inc,Yes,None,None
103,Bullard Dental Plaza: Pouresmail Manouchehr DDS,None,None,None
104,"Dentist Sanger - Dr. Harjit S. Mann, DDS",Yes,Yes,None
105,Jason Rountree Family Dentistry,None,Yes,None
106,"Selma Sunshine Dental: Mandeep Sandhu, DDS",Yes,None,None
107,Tiu Dennis L DDS,Yes,None,None
108,"Gerald M Schneider DDS, Nathan A Loeffler DDS",Yes,Yes,None
109,SmileRite Family Dentistry,Yes,Yes,None
110,A Dental Care 24Hrs,Yes,None,None
111,Smile Island Pediatric & Adult Dental Group,None,None,None
112,Fresno Dental Works,Yes,None,None
113,"Michael T. Bodensteiner, DDS",None,None,None
114,Hurst Dental Care,Yes,Yes,None
115,"PhD Dental Pico Rivera Adults, Kids, Implants & Orthodontics",Yes,None,None
116,Advanced Dental Care,Yes,None,None
117,Angels Family Dental,Yes,None,None
118,"Dr. Bruce Nakashian, DDS",None,None,None
119,Golden Dental,Yes,None,None
120,Our Dental Care: James C. Ma D.D.S.,Yes,None,None
121,"Smile Makeover Anoosheh Shahkarami, DDS",Yes,None,None
122,Otto Alonzo DDS,Yes,Yes,None
123,High Sierra Dental Center: Office Of Saleem M. Kiwan DDS,None,None,None
124,Western Dental Dentistry: Lee Jing W DDS,None,None,None
125,Western Dental Kids,Yes,None,None
126,Affordable Dentures & Implants,Yes,None,None
127,Clovis Crossing Dental Group and Orthodontics,Yes,None,None
128,St Therese Family Dental Care,Yes,None,None
129,Karam U DDS,None,None,None
130,Powell Pediatric Dentistry,Yes,Yes,None
131,Loma Linda University School of Dentistry,Yes,None,None
132,Havens Orthodontics Inc,Yes,None,None
133,Fresno St Children's Dentistry and Orthodontics,None,None,None
134,Pries Dental Care | Innovating Dental Care for West San Jose,None,None,None
135,"Patrick Mazzei, D.D.S.",Yes,Yes,None
