,Name,Address,Phone,Website,Opening hours,Rating
0,Massachusetts Lawyers,"10 Tremont St, Boston, MA 02108, USA",,https://www.mass.gov/info-details/finding-a-lawyer,None,
1,"KJC Law Firm, LLC","10 Tremont St, Boston, MA 02108, USA",+1 617-720-8447,http://www.kjclawfirm.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",2.3
2,Thornton Law Firm LLP,"1 Lincoln St, Boston, MA 02111, USA",+1 617-720-1333,https://tenlaw.com/,"['Monday: 8:30 AM – 5:30 PM', 'Tuesday: 8:30 AM – 5:30 PM', 'Wednesday: 8:30 AM – 5:30 PM', 'Thursday: 8:30 AM – 5:30 PM', 'Friday: 8:30 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",4.9
3,Conn Kavanaugh Rosenthal Peisch & Ford,"1 Federal St #15th, Boston, MA 02110, USA",+1 617-482-8200,http://www.connkavanaugh.com/,"['Monday: 8:30 AM – 6:00 PM', 'Tuesday: 8:30 AM – 6:00 PM', 'Wednesday: 8:30 AM – 6:00 PM', 'Thursday: 8:30 AM – 6:00 PM', 'Friday: 8:30 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5.0
4,Anderson & Kreiger LLP,"50 Milk St 21st floor, Boston, MA 02109, USA",+1 617-621-6500,http://www.andersonkreiger.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.0
5,Yannetti Criminal Defense Law Firm,"44 School St #1000a, Boston, MA 02108, USA",+1 617-338-6006,https://www.davidyannetti.com/,"['Monday: 7:00 AM – 11:00 PM', 'Tuesday: 7:00 AM – 11:00 PM', 'Wednesday: 7:00 AM – 11:00 PM', 'Thursday: 7:00 AM – 11:00 PM', 'Friday: 7:00 AM – 11:00 PM', 'Saturday: 7:00 AM – 11:00 PM', 'Sunday: 7:00 AM – 11:00 PM']",4.9
6,"Law Offices of Jeffrey S. Glassman, LLC","1 International Pl #1810, Boston, MA 02110, USA",+1 617-367-2900,https://www.jeffreysglassman.com/?utm_source=gmb,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",4.4
7,Carney Law Firm,"10 High St #401, Boston, MA 02110, USA",+1 617-426-9797,http://www.carnlaw.com/,"['Monday: 8:30 AM – 5:30 PM', 'Tuesday: 8:30 AM – 5:30 PM', 'Wednesday: 8:30 AM – 5:30 PM', 'Thursday: 8:30 AM – 5:30 PM', 'Friday: 8:30 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",4.8
8,"Block & Roos, LLP","2 Liberty Square 11th Floor, Boston, MA 02109, USA",+1 617-223-1900,https://www.blockroos.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",
9,Todd & Weld LLP,"1 Federal St, Boston, MA 02110, USA",+1 617-720-2626,http://www.toddweld.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.9
10,"Conforto Law Group, P.C.│Boston Employment Law Firm","20 Park Plaza #1115, Boston, MA 02116, USA",+1 617-721-9139,https://www.confortolaw.com/,"['Monday: 7:00 AM – 7:00 PM', 'Tuesday: 7:00 AM – 7:00 PM', 'Wednesday: 7:00 AM – 7:00 PM', 'Thursday: 7:00 AM – 7:00 PM', 'Friday: 7:00 AM – 7:00 PM', 'Saturday: 7:00 AM – 7:00 PM', 'Sunday: 7:00 AM – 7:00 PM']",4.7
11,Gordon Law Group,"585 Boylston St, Boston, MA 02116, USA",+1 617-536-1800,http://www.gordonllp.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.8
